source,date,series,x_pixel,y_pixel,height,status,color_distance
260910,2025-09-11,field,246.1153846153846,670.5,43.5,detected,
260910,2025-09-11,coin_dark,246.1153846153846,,,unresolved_overlap_or_zero,
260910,2025-09-11,coin_light,246.1153846153846,678.0,36.0,detected,
260910,2025-09-11,other,246.1153846153846,,,below_resolution_at_axis,
260910,2025-09-18,boss,264.1538461538462,578.0,136.0,detected,
260910,2025-09-18,field,264.1538461538462,670.0,44.0,detected,
260910,2025-09-18,coin_dark,264.1538461538462,,,unresolved_overlap_or_zero,
260910,2025-09-18,coin_light,264.1538461538462,678.5,35.5,detected,
260910,2025-09-18,other,264.1538461538462,,,below_resolution_at_axis,
260910,2025-09-25,boss,282.19230769230774,584.0,130.0,detected,
260910,2025-09-25,field,282.19230769230774,672.0,42.0,detected,
260910,2025-09-25,coin_dark,282.19230769230774,,,unresolved_overlap_or_zero,
260910,2025-09-25,coin_light,282.19230769230774,676.5,37.5,detected,
260910,2025-09-25,other,282.19230769230774,,,below_resolution_at_axis,
260910,2025-10-02,boss,300.2307692307692,582.0,132.0,detected,
260910,2025-10-02,field,300.2307692307692,674.5,39.5,detected,
260910,2025-10-02,coin_dark,300.2307692307692,,,unresolved_overlap_or_zero,
260910,2025-10-02,coin_light,300.2307692307692,679.5,34.5,detected,
260910,2025-10-02,other,300.2307692307692,,,below_resolution_at_axis,
260910,2025-10-09,boss,318.2692307692308,588.5,125.5,detected,
260910,2025-10-09,field,318.2692307692308,673.5,40.5,detected,
260910,2025-10-09,coin_dark,318.2692307692308,,,unresolved_overlap_or_zero,
260910,2025-10-09,coin_light,318.2692307692308,683.0,31.0,detected,
260910,2025-10-09,other,318.2692307692308,,,below_resolution_at_axis,
260910,2025-10-16,boss,336.3076923076923,592.0,122.0,detected,
260910,2025-10-16,field,336.3076923076923,677.5,36.5,detected,
260910,2025-10-16,coin_dark,336.3076923076923,,,unresolved_overlap_or_zero,
260910,2025-10-16,coin_light,336.3076923076923,683.0,31.0,detected,
260910,2025-10-16,other,336.3076923076923,,,below_resolution_at_axis,
260910,2025-10-23,boss,354.34615384615387,609.5,104.5,detected,
260910,2025-10-23,field,354.34615384615387,680.5,33.5,detected,
260910,2025-10-23,coin_dark,354.34615384615387,,,unresolved_overlap_or_zero,
260910,2025-10-23,coin_light,354.34615384615387,685.5,28.5,detected,
260910,2025-10-23,other,354.34615384615387,,,below_resolution_at_axis,
260910,2025-10-30,boss,372.3846153846154,607.5,106.5,detected,
260910,2025-10-30,field,372.3846153846154,,,unresolved_overlap_or_zero,
260910,2025-10-30,coin_dark,372.3846153846154,,,unresolved_overlap_or_zero,
260910,2025-10-30,coin_light,372.3846153846154,683.0,31.0,detected,
260910,2025-10-30,other,372.3846153846154,,,below_resolution_at_axis,
260910,2025-11-06,boss,390.4230769230769,615.5,98.5,detected,
260910,2025-11-06,field,390.4230769230769,683.5,30.5,detected,
260910,2025-11-06,coin_dark,390.4230769230769,,,unresolved_overlap_or_zero,
260910,2025-11-06,coin_light,390.4230769230769,688.0,26.0,detected,
260910,2025-11-06,other,390.4230769230769,,,below_resolution_at_axis,
260910,2025-11-13,boss,408.46153846153845,616.5,97.5,detected,
260910,2025-11-13,field,408.46153846153845,684.0,30.0,detected,
260910,2025-11-13,coin_dark,408.46153846153845,,,unresolved_overlap_or_zero,
260910,2025-11-13,coin_light,408.46153846153845,687.0,27.0,detected,
260910,2025-11-13,other,408.46153846153845,,,below_resolution_at_axis,
260910,2025-11-20,boss,426.5,622.5,91.5,detected,
260910,2025-11-20,field,426.5,,,unresolved_overlap_or_zero,
260910,2025-11-20,coin_dark,426.5,,,unresolved_overlap_or_zero,
260910,2025-11-20,coin_light,426.5,688.5,25.5,detected,
260910,2025-11-20,other,426.5,,,below_resolution_at_axis,
260910,2025-11-27,boss,444.5384615384616,624.5,89.5,detected,
260910,2025-11-27,field,444.5384615384616,687.0,27.0,detected,
260910,2025-11-27,coin_dark,444.5384615384616,,,unresolved_overlap_or_zero,
260910,2025-11-27,coin_light,444.5384615384616,684.0,30.0,detected,
260910,2025-11-27,other,444.5384615384616,,,below_resolution_at_axis,
260910,2025-12-04,boss,462.5769230769231,621.5,92.5,detected,
260910,2025-12-04,field,462.5769230769231,686.0,28.0,detected,
260910,2025-12-04,coin_dark,462.5769230769231,,,unresolved_overlap_or_zero,
260910,2025-12-04,coin_light,462.5769230769231,689.0,25.0,detected,
260910,2025-12-04,other,462.5769230769231,,,below_resolution_at_axis,
260910,2025-12-11,boss,480.61538461538464,621.5,92.5,detected,
260910,2025-12-11,field,480.61538461538464,684.5,29.5,detected,
260910,2025-12-11,coin_dark,480.61538461538464,,,unresolved_overlap_or_zero,
260910,2025-12-11,coin_light,480.61538461538464,689.5,24.5,detected,
260910,2025-12-11,other,480.61538461538464,,,below_resolution_at_axis,
260910,2025-12-18,boss,498.6538461538462,616.5,97.5,detected,
260910,2025-12-18,field,498.6538461538462,,,unresolved_overlap_or_zero,
260910,2025-12-18,coin_dark,498.6538461538462,,,unresolved_overlap_or_zero,
260910,2025-12-18,coin_light,498.6538461538462,679.0,35.0,detected,
260910,2025-12-18,other,498.6538461538462,,,below_resolution_at_axis,
260910,2025-12-25,boss,516.6923076923077,606.5,107.5,detected,
260910,2025-12-25,field,516.6923076923077,677.5,36.5,detected,
260910,2025-12-25,coin_dark,516.6923076923077,,,unresolved_overlap_or_zero,
260910,2025-12-25,coin_light,516.6923076923077,671.0,43.0,detected,
260910,2025-12-25,other,516.6923076923077,,,below_resolution_at_axis,
260910,2026-01-01,boss,534.7307692307693,599.5,114.5,detected,
260910,2026-01-01,field,534.7307692307693,679.5,34.5,detected,
260910,2026-01-01,coin_dark,534.7307692307693,,,unresolved_overlap_or_zero,
260910,2026-01-01,coin_light,534.7307692307693,666.0,48.0,detected,
260910,2026-01-01,other,534.7307692307693,,,below_resolution_at_axis,
260910,2026-01-08,boss,552.7692307692308,605.5,108.5,detected,
260910,2026-01-08,field,552.7692307692308,678.0,36.0,detected,
260910,2026-01-08,coin_dark,552.7692307692308,,,unresolved_overlap_or_zero,
260910,2026-01-08,coin_light,552.7692307692308,673.5,40.5,detected,
260910,2026-01-08,other,552.7692307692308,,,below_resolution_at_axis,
260910,2026-01-15,boss,570.8076923076924,597.5,116.5,detected,
260910,2026-01-15,field,570.8076923076924,679.0,35.0,detected,
260910,2026-01-15,coin_dark,570.8076923076924,705.0,9.0,detected,
260910,2026-01-15,coin_light,570.8076923076924,709.5,4.5,detected,
260910,2026-01-15,other,570.8076923076924,,,below_resolution_at_axis,
260910,2026-01-22,boss,588.8461538461538,594.5,119.5,detected,
260910,2026-01-22,field,588.8461538461538,677.5,36.5,detected,
260910,2026-01-22,coin_dark,588.8461538461538,705.0,9.0,detected,
260910,2026-01-22,coin_light,588.8461538461538,703.0,11.0,detected,
260910,2026-01-22,other,588.8461538461538,,,below_resolution_at_axis,
260910,2026-01-29,boss,606.8846153846155,585.0,129.0,detected,
260910,2026-01-29,field,606.8846153846155,678.5,35.5,detected,
260910,2026-01-29,coin_dark,606.8846153846155,706.0,8.0,detected,
260910,2026-01-29,coin_light,606.8846153846155,,,unresolved_overlap_or_zero,
260910,2026-01-29,other,606.8846153846155,,,below_resolution_at_axis,
260910,2026-02-05,boss,624.9230769230769,589.5,124.5,detected,
260910,2026-02-05,field,624.9230769230769,677.5,36.5,detected,
260910,2026-02-05,coin_dark,624.9230769230769,706.5,7.5,detected,
260910,2026-02-05,coin_light,624.9230769230769,,,unresolved_overlap_or_zero,
260910,2026-02-05,other,624.9230769230769,,,below_resolution_at_axis,
260910,2026-02-12,boss,642.9615384615386,589.5,124.5,detected,
260910,2026-02-12,field,642.9615384615386,677.5,36.5,detected,
260910,2026-02-12,coin_dark,642.9615384615386,707.0,7.0,detected,
260910,2026-02-12,coin_light,642.9615384615386,705.0,9.0,detected,
260910,2026-02-12,other,642.9615384615386,,,below_resolution_at_axis,
260910,2026-02-19,boss,661.0,587.0,127.0,detected,
260910,2026-02-19,field,661.0,678.5,35.5,detected,
260910,2026-02-19,coin_dark,661.0,707.0,7.0,detected,
260910,2026-02-19,coin_light,661.0,709.0,5.0,detected,
260910,2026-02-19,other,661.0,,,below_resolution_at_axis,
