source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
251016,2025-07-17,0.24390243902439024,0.23832528180354268,0.24958949096880131,False,,396.0,150.0,32.0,33.0,4.0,641.9197524352288,156.56579327688507,152.98570589438626,160.2164242531277
251016,2025-07-24,0.22551928783382788,0.22058823529411764,0.23053892215568864,False,,399.0,152.0,40.0,80.0,3.0,659.2998882521753,148.68484126755288,145.4337988791563,151.99428561502245
251016,2025-07-31,0.2042857142857143,0.19971671388101983,0.20893371757925072,False,,427.0,143.0,42.0,85.0,3.0,681.3582488256682,139.19175654581508,136.07863043118869,142.358711930435
251016,2025-08-07,0.21745788667687596,0.212443095599393,0.22256568778979907,False,,404.0,142.0,42.0,62.0,3.0,639.6924566312928,139.10616974218004,135.8982457183323,142.3735915840899
251016,2025-08-14,0.22442748091603054,0.21936459909228442,0.2295839753466872,False,,403.0,147.0,42.0,60.0,3.0,642.1433855839031,144.11462241348664,140.86352633837512,147.42583120493305
251016,2025-08-21,0.19004524886877827,0.18535127055306427,0.1948249619482496,False,,421.0,126.0,46.0,67.0,3.0,642.2141650989681,122.04975083328806,119.03521146826913,125.11935027803335
251016,2025-08-28,0.17887323943661973,0.17458100558659218,0.18323863636363635,False,,448.0,127.0,53.0,80.0,2.0,691.9601166145297,123.7731476197821,120.80309298438019,126.79382818646923
251016,2025-09-04,0.19424460431654678,0.18972895863052783,0.1988388969521045,False,,439.0,135.0,54.0,65.0,2.0,669.1036040626165,129.9697648179183,126.94833001473323,133.04382257848832
251016,2025-09-11,0.20179372197309417,0.19703703703703704,0.2066365007541478,False,,420.0,135.0,54.0,58.0,2.0,651.9471013943443,131.55883211993495,128.45772516362635,134.7160677089369
251016,2025-09-18,0.2062314540059347,0.20147058823529412,0.21107784431137724,False,,421.0,139.0,54.0,57.0,3.0,656.3050864938896,135.35075225912558,132.2261718377395,138.5314628677222
