date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status
2025-10-02,260910,0.18160919540229886,0.16233766233766234,0.2034313725490196,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,132.0,39.5,10.0,34.5,1.5,618.8230520859698,112.38395658572786,100.4582876762938,125.8880228508223,317938.0,216580.0,valid
2025-10-09,260910,0.19424460431654678,0.17342342342342343,0.21794871794871795,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,125.5,40.5,10.0,31.0,1.5,593.4354396926993,115.27163217052434,102.91560553229246,129.33849326635755,310420.0,198964.0,valid
2025-10-16,260910,0.18159203980099503,0.16083916083916083,0.20533333333333334,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,122.0,36.5,10.0,31.0,1.5,570.5748891782056,103.61185798509703,91.77078637131977,117.15804391125822,302160.0,185308.0,valid
2025-10-23,260910,0.18820224719101122,0.16449086161879894,0.21580547112462006,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,104.5,33.5,10.0,28.5,1.5,507.75224786541116,95.56011406455771,83.52060474026345,109.57571306517991,297683.0,169443.0,valid
2025-10-30,260910,0.17679558011049723,0.15424164524421594,0.20298507462686566,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,106.5,32.0,10.0,31.0,1.5,505.83647757535863,89.42965349398605,78.02105052576225,102.67725514962503,305432.0,150125.0,valid
2025-11-06,260910,0.1831831831831832,0.15833333333333333,0.21241830065359477,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,98.5,30.5,10.0,26.0,1.5,469.6708292755053,86.03579755497245,74.36454796862166,99.76667942126747,299525.0,134699.0,valid
2025-11-13,260910,0.18072289156626506,0.15598885793871867,0.2098360655737705,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,30.0,10.0,27.0,1.5,462.83430793817575,83.64475444665827,72.19699511013327,97.11933019030573,296153.0,118308.0,valid
2025-11-20,260910,0.18152866242038215,0.15542521994134897,0.21254355400696864,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,91.5,28.5,10.0,25.5,1.5,437.93631378391717,79.49799326650725,68.06634789016894,93.08054056034477,326468.0,,season_end_boundary
2025-11-27,260910,0.17088607594936708,0.1457725947521866,0.20069204152249134,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,89.5,27.0,10.0,30.0,1.5,441.1097653330759,75.3795168607155,64.3017150631306,88.52721934020208,309116.0,0.0,outside_season
2025-12-04,260910,0.17834394904458598,0.15249266862170088,0.20905923344947736,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,92.5,28.0,10.0,25.0,1.5,434.2393158501497,77.44395441913497,66.21831209445098,90.78173850525778,299044.0,0.0,outside_season
2025-12-11,260910,0.18670886075949367,0.16034985422740525,0.2179930795847751,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,92.5,29.5,10.0,24.5,1.5,437.93631378391717,81.76659023180731,70.22302407613832,95.46708570376049,283675.0,0.0,outside_season
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid
2026-01-15,260910,0.21021021021021022,0.19186046511627908,0.22981366459627328,False,other_axis_band,116.5,35.0,9.0,4.5,1.5,477.0502009423504,100.2808230209145,91.52707343661375,109.63265487495008,284602.0,234425.0,valid
2026-01-22,260910,0.2056338028169014,0.1885245901639344,0.2238372093023256,False,other_axis_band,119.5,36.5,9.0,11.0,1.5,507.75224786541116,104.41102561739442,95.72378443364308,113.65384617917634,274108.0,217437.0,valid
2026-01-29,260910,0.19559228650137742,0.17402597402597403,0.21994134897360704,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,129.0,35.5,8.0,7.5,1.5,517.2726025128876,101.17453107001383,90.01886848925577,113.76963398377293,266223.0,193637.0,valid
2026-02-05,260910,0.2056338028169014,0.1830238726790451,0.23123123123123124,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,124.5,36.5,7.5,7.5,1.5,505.8611297993827,104.02214781790123,92.58466301368013,116.97089187553294,257958.0,179372.0,valid
2026-02-12,260910,0.20448179271708683,0.1875,0.22254335260115607,False,other_axis_band,124.5,36.5,7.0,9.0,1.5,504.57879631625235,103.17717683777708,94.60852430929731,112.29065698367465,257515.0,168935.0,valid
2026-02-19,260910,0.20170454545454544,0.18457300275482094,0.21994134897360704,False,other_axis_band,127.0,35.5,7.0,5.0,1.5,514.0991509637288,103.69613556370665,94.88882400707942,113.07166076914856,254819.0,154821.0,valid
2026-02-26,260910,0.17402597402597403,0.1590909090909091,0.18983957219251338,False,other_axis_band,143.0,33.5,6.5,8.0,1.5,553.9292061215394,96.39806963673544,88.12510097388127,105.15768351505162,251789.0,148798.0,valid
2026-03-05,260910,0.181058495821727,0.16486486486486487,0.19827586206896552,False,other_axis_band,131.5,32.5,6.0,8.0,1.5,514.0991509637288,93.0820189767197,84.75688705077691,101.93345234625657,248384.0,139917.0,valid
2026-03-12,260910,0.18980169971671387,0.17307692307692307,0.20760233918128654,False,other_axis_band,131.5,33.5,6.0,4.0,1.5,520.4460540620464,98.78154567183317,90.07720166458495,108.04581824095115,244263.0,132277.0,valid
2026-03-19,260910,0.18393782383419688,0.1642156862745098,0.20604395604395603,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,143.0,35.5,5.5,7.5,1.5,558.5274726519523,102.73432787121402,91.71897222470785,115.08121002444071,279166.0,138000.0,valid
2026-03-26,260910,0.1815856777493606,0.162227602905569,0.2032520325203252,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,145.5,35.5,5.5,7.5,1.5,568.0478272994287,103.1493497142185,92.15303735850297,115.45687546736356,327578.0,154628.0,valid
2026-04-02,260910,0.17892156862745098,0.16467780429594273,0.19395465994962216,False,other_axis_band,153.5,36.5,5.5,7.0,1.5,587.6748695472763,105.14770950233131,96.77700715695005,113.98227948398055,320130.0,130670.0,valid
2026-04-09,260910,0.1848101265822785,0.16995073891625614,0.20052083333333334,False,other_axis_band,147.5,36.5,5.0,7.0,1.5,568.4346861549432,105.0524863020528,96.60589493766275,113.982996963361,313838.0,119643.0,valid
2026-04-16,260910,0.1889168765743073,0.17401960784313725,0.20466321243523317,False,other_axis_band,149.5,37.5,5.0,5.0,1.5,580.7416334960641,109.71189549673755,101.060431319168,118.85644830618928,329305.0,,season_end_boundary
2026-04-23,260910,0.19743589743589743,0.18204488778054864,0.21372031662269128,False,other_axis_band,147.5,38.5,4.5,3.0,1.5,583.0748759683954,115.11991140914473,106.14580036332386,124.61494710670192,338004.0,0.0,outside_season
2026-04-30,260910,0.17607223476297967,0.15913978494623657,0.19477434679334918,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,169.0,39.0,4.5,7.5,1.5,640.9042301985003,112.8454400800971,101.99336136492263,124.83170279400719,332744.0,0.0,outside_season
2026-05-07,260910,0.1891891891891892,0.17464114832535885,0.20454545454545456,False,other_axis_band,153.0,38.5,4.5,6.0,1.5,590.6743906029266,111.74920903298612,103.15605386127665,120.81976171423499,326800.0,0.0,outside_season
2026-05-14,260910,0.18434343434343434,0.16953316953316952,0.2,False,other_axis_band,149.5,36.5,4.5,6.0,1.5,571.2212788485875,105.30089231299719,96.84095390799149,114.24425576971751,327108.0,0.0,outside_season
2026-05-21,260910,0.18564356435643564,0.1710843373493976,0.2010178117048346,False,other_axis_band,153.0,37.5,4.0,6.0,1.5,588.2526229690943,109.20531367000513,100.64081019471253,118.24925499887647,326406.0,0.0,outside_season
2026-05-28,260910,0.16186252771618626,0.14935064935064934,0.175,False,other_axis_band,177.5,36.5,4.0,6.0,1.5,656.9044706758757,106.32821809166059,98.10910925678662,114.95828236827823,329278.0,0.0,outside_season
2026-06-04,260910,0.167420814479638,0.15086206896551724,0.18571428571428572,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,171.0,37.0,4.0,7.5,1.5,637.8637613809228,106.79167045743957,96.22944676005301,118.46041282788568,332640.0,0.0,outside_season
2026-06-11,260910,0.1864801864801865,0.17272727272727273,0.20095693779904306,False,other_axis_band,167.0,40.0,4.0,2.0,1.5,639.1633653486704,119.19130356152363,110.40094492386125,128.44431265379978,336357.0,0.0,outside_season
2026-06-18,260910,0.16526138279932545,0.15562913907284767,0.17525773195876287,False,other_axis_band,220.0,49.0,12.0,14.0,1.5,857.3034025030339,141.67914577621806,133.42139045577017,150.2490499232121,393763.0,,missing_challenger_count
2026-06-25,260910,0.14611260053619302,0.13870541611624834,0.15374149659863945,False,other_axis_band,290.5,54.5,12.5,14.0,1.5,1072.6991596510863,156.73486380960912,148.78918330695384,164.9183742048609,432475.0,472376.0,valid
2026-07-02,260910,0.1617440225035162,0.15373961218836565,0.17,False,other_axis_band,277.0,57.5,10.5,9.0,1.5,1040.099476446841,168.22987312431326,159.9044901462595,176.81691099596298,395729.0,450911.0,valid
2026-07-09,260910,0.17221418234442837,0.16381766381766383,0.18088235294117647,False,other_axis_band,267.0,59.5,9.5,8.0,1.5,1015.5044957308223,174.8842763993746,166.3575740869581,183.68684261013402,372451.0,431527.0,valid
2026-07-16,260910,0.17887323943661973,0.1680327868852459,0.19040697674418605,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,274.0,63.5,8.5,7.5,1.5,1040.8921081240928,186.18774328416873,174.90400177495002,198.19311942479095,364034.0,412846.0,valid
2026-07-23,260910,0.16891891891891891,0.15879265091863518,0.1796657381615599,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,291.0,62.5,7.5,7.5,1.5,1102.7261534704119,186.27130970783983,175.10480914687642,198.12210835331913,350778.0,399123.0,valid
2026-07-30,260910,0.12870159453302962,0.12260967379077616,0.13494809688581316,False,other_axis_band,366.5,56.5,6.5,8.0,1.5,1293.9960742605092,166.53935807680816,158.656436551626,174.6223075991691,338148.0,380114.0,valid
2026-08-06,260910,0.14687100893997446,0.1397984886649874,0.15414507772020725,False,other_axis_band,320.5,57.5,5.0,7.0,1.5,1158.4151096879323,170.1375959311778,161.94468158105852,178.56398711510872,332303.0,367949.0,valid
2026-08-13,260910,0.149616368286445,0.1424968474148802,0.1569390402075227,False,other_axis_band,320.5,58.5,4.5,6.0,1.5,1155.1363638938103,172.8273076414013,164.6032901891558,181.28599225830226,327645.0,354963.0,valid
2026-08-20,260910,0.14993804213135067,0.1411338962605549,0.1592356687898089,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,330.5,60.5,3.5,7.5,1.5,1183.6974278362397,177.48127480568155,167.0598299841255,188.4868515662802,332295.0,343054.0,valid
