date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status,main_counterfactual,C_field_signed_excess,C_field_low,C_field_high,feasible,C_field_per_account,season,method,main_drift_assumed
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,90.17041737777863,46.343258760861815,42.680101082723,50.09363447895636,True,,2,linear_total,0.1
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,92.48167670279894,32.19648993283127,29.075813289831572,35.377958977967324,True,4.949833644832436e-05,2,linear_total,0.1
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,94.79293602781922,31.674997926873132,28.51128673780319,34.90104825267349,True,5.1121853083568915e-05,2,linear_total,0.1
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,97.10419535283953,38.53046933567592,35.28934396559478,41.835354549102874,True,6.841979255129365e-05,2,linear_total,0.1
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,101.0454592578899,35.468216880750546,31.80505920261173,39.21859259884509,True,,2,flat_per_account,-0.1
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,104.94507946132148,19.73308717430872,16.612410531309024,22.914556219444776,True,3.0337312860990937e-05,2,flat_per_account,-0.1
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,89.22601760098435,37.24191635370801,34.078205164638064,40.467966679508365,True,6.0106579352593145e-05,2,flat_per_account,-0.1
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,84.79305014302737,50.84161454548807,47.600489175406935,54.14649975891503,True,9.028108871111691e-05,2,flat_per_account,-0.1
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,112.27273250876655,24.240943629873897,20.57778595173508,27.991319347968442,True,,2,flat_per_account,0.0
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,116.60564384591275,8.072522789717453,4.951846146717756,11.253991834853508,True,1.2410559345624383e-05,2,flat_per_account,0.0
