date,x_pixel,B_existing_weekly,B_digitized_raw,B_digitized_constrained,tier1_raw,tier1,tier2_raw,tier2,tier3_raw,tier3,tier4_raw,tier4,tier5_raw,tier5,tier6_raw,tier6,tier7_raw,tier7
2024-11-07,212.5769230769231,156.7557165921798,164.90417524200177,164.90417524200177,61.839065715750664,61.839065715750664,88.34152245107238,88.34152245107238,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,8.834152245107237,8.834152245107237,0.0,0.0
2024-11-14,219.03846153846155,160.8882681468458,164.90417524200177,164.90417524200177,61.839065715750664,61.839065715750664,88.34152245107238,88.34152245107238,0.0,0.0,0.0,0.0,2.944717415035746,2.944717415035746,11.778869660142984,11.778869660142984,0.0,0.0
2024-11-21,225.5,160.8882681468458,161.95945782696603,161.95945782696603,61.839065715750664,61.839065715750664,88.34152245107238,88.34152245107238,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-11-28,231.96153846153845,172.1107113818798,164.90417524200177,164.90417524200177,61.839065715750664,61.839065715750664,88.34152245107238,88.34152245107238,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-12-05,238.4230769230769,197.6215617982113,173.73832748710902,173.73832748710902,67.72850054582216,67.72850054582216,91.28623986610813,91.28623986610813,0.0,0.0,0.0,0.0,2.944717415035746,2.944717415035746,11.778869660142984,11.778869660142984,0.0,0.0
2024-12-12,244.8846153846154,200.84072213640619,182.57247973221627,182.57247973221627,70.6732179608579,70.6732179608579,97.17567469617961,97.17567469617961,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-12-19,251.34615384615387,214.51712762580863,217.9090887126452,217.9090887126452,100.12039211121537,100.12039211121537,103.0651095262511,103.0651095262511,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-12-26,257.8076923076923,232.39425897377487,235.5773932028597,235.5773932028597,111.89926177135835,111.89926177135835,108.9545443563226,108.9545443563226,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2025-01-02,264.2692307692308,241.33197979277935,244.41154544796692,244.41154544796692,111.89926177135835,111.89926177135835,117.78869660142985,117.78869660142985,11.778869660142984,11.778869660142984,2.944717415035746,2.944717415035746,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,270.7307692307692,242.82883415294725,244.41154544796692,244.41154544796692,108.9545443563226,108.9545443563226,120.73341401646559,120.73341401646559,11.778869660142984,11.778869660142984,2.944717415035746,2.944717415035746,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,277.19230769230774,244.1531980775061,250.30098027803842,250.30098027803842,106.00982694128686,106.00982694128686,126.62284884653708,126.62284884653708,11.778869660142984,11.778869660142984,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,283.6538461538462,245.8020834443298,247.35626286300266,247.35626286300266,100.12039211121537,100.12039211121537,129.56756626157284,129.56756626157284,11.778869660142984,11.778869660142984,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,290.11538461538464,245.80126262977095,253.24569769307416,253.24569769307416,100.12039211121537,100.12039211121537,132.51228367660858,132.51228367660858,14.723587075178731,14.723587075178731,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,0.0,0.0
