source,date,x_pixel,y_pixel,week_contains_day_1_or_2,date_itself_day_1_or_2,method
2311_HardDamian_HardJinHilla,2023-04-06,130.44859813083687,1042.7930574098805,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2504_source_boss,2023-08-31,637.9812596006154,599.0062467997949,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-09-07,645.6590476190482,603.5530158730161,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-09-14,653.3723809523804,606.1241269841267,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-09-21,661.0857142857158,600.2190476190457,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-09-28,668.7990476190479,589.5326984126986,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-10-05,676.3701996927798,601.7403993855596,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-10-12,683.834715821812,607.5564772145414,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-10-19,691.2992319508456,608.2335893497182,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-10-26,698.763748079877,602.7454173067076,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-11-02,706.2731926452157,598.4845382365229,True,True,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-11-09,713.9771428571426,604.3028571428567,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-11-16,721.6904761904776,608.7936507936518,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-11-23,729.4038095238101,612.9358730158733,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-11-30,737.1148697727502,609.0765798485002,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-12-07,744.6172043010758,617.7734767025104,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-12-14,752.0817204301072,618.8637992831547,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-12-21,759.5462365591402,598.3304659498192,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2023-12-28,767.010752688173,584.0,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-01-04,774.4752688172044,584.9835125448029,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-01-11,781.9397849462358,586.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-01-18,789.4043010752703,581.0637992831531,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-01-25,796.8688172043016,580.9562724014339,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-02-01,804.3828996282529,573.2342007434943,True,True,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-02-08,812.3126436781602,580.6252873563202,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-02-15,820.2919540229896,586.7639846743299,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-02-22,828.2712643678155,587.5762452107282,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-02-29,836.241634118021,570.241634118021,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-03-07,843.788632872505,579.9621095750166,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-03-14,851.2531490015364,585.0843830005122,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-03-21,858.7176651305676,595.007885304658,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-03-28,866.1821812596022,590.060727086534,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-04-04,873.753333333334,592.1688888888893,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-04-11,881.4666666666661,599.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-04-18,889.1800000000015,596.5466666666656,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-04-25,896.8933333333337,579.1066666666663,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-05-02,904.5640678671801,575.0,True,True,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-05-09,912.035637480798,584.3452124935993,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-05-16,919.5001536098324,588.6667690732216,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-05-23,926.9646697388638,585.713773681515,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-05-30,934.4291858678952,564.4735279057878,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-06-06,942.0714285714283,567.7142857142856,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-06-13,949.7847619047635,569.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-06-20,957.4980952380959,563.0025396825389,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-06-27,965.211428571428,528.788571428572,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-07-04,972.8181259600626,528.6060419866875,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-07-11,980.282642089094,534.905785970302,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-07-18,987.7471582181254,531.6704557091662,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-07-25,995.2116743471598,526.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-08-01,1002.6761904761912,508.29523809523516,True,True,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-08-08,1010.1407066052226,515.3752176139268,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-08-15,1017.6052227342539,524.5350742447513,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-08-22,1025.0697388632884,523.9535074244744,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-08-29,1032.5342549923198,506.86298003072096,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-09-05,1040.140952380953,505.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-09-12,1047.8542857142852,501.52761904761974,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-09-19,1055.5676190476206,492.0539682539657,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-09-26,1063.2809523809526,469.7936507936487,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-10-03,1070.923195084485,462.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-10-10,1078.3877112135187,469.7959037378395,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-10-17,1085.85222734255,492.54521249359993,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-10-24,1093.3167434715813,504.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-10-31,1100.7910618000842,496.7363127333053,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-11-07,1108.4590476190474,507.6558730158719,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-11-14,1116.1723809523808,517.3907936507936,False,False,printed six month ticks to Thursday; interpolate line color trace
