date,season,share_before,share_after,change_percentage_points,M_mean_before,M_mean_after,C_mean_before,C_mean_after
2025-04-03,1,0.20325494948611914,0.20325494948611914,0.0,70.61997776541018,70.61997776541018,39.829188555252166,39.829188555252166
2025-04-10,1,0.16049531683373294,0.16049531683373294,0.0,75.77109264608109,75.77109264608109,35.765979368101895,35.765979368101895
2025-04-17,1,0.06941946353681386,0.06941946353681386,0.0,68.69470369365716,68.69470369365716,15.073921096756257,15.073921096756257
2025-04-24,1,0.025087653888353302,0.025087653888353302,0.0,62.38062362541419,62.38062362541419,6.431630901318998,6.431630901318998
2025-05-01,1,0.02089128565399351,0.02089128565399351,0.0,65.74467738188116,65.74467738188116,6.331441613030224,6.331441613030224
2025-05-08,1,0.020783380905528465,0.020783380905528465,0.0,64.77102233364589,64.77102233364589,7.163575848572028,7.163575848572028
2025-05-15,1,0.04333996759979348,0.04333996759979348,0.0,67.00198862353844,67.00198862353844,18.19640094821732,18.19640094821732
2025-05-22,0,,,,,,,
2025-05-29,0,0.0,0.0,0.0,66.14077128838647,66.14077128838647,,
2025-06-05,0,0.0,0.0,0.0,65.1953895659978,65.1953895659978,,
2025-06-12,0,0.0,0.0,0.0,52.617125257495694,52.617125257495694,,
2025-06-19,2,0.20430107526881724,0.20430107526881724,0.0,44.91165175087237,44.91165175087237,,
2025-06-26,2,0.3153153153153153,0.31531531531531526,-5.551115123125783e-15,44.41151840425399,44.411518404254,15.845054780992275,15.845054780992273
2025-07-03,2,0.35664197561162814,0.3566252655030102,-0.0016710108617923325,51.29361548223769,51.294947744918225,19.661835744449235,19.660914508494454
2025-07-10,2,0.3752752893354561,0.37530693053529257,0.003164119983645186,55.57476671462641,55.57195195114825,24.136603633939856,24.138638702916303
2025-07-17,2,0.44779145446005447,0.44887387839207354,0.1082423932019072,55.278888142191164,55.17053199315328,32.48740905249371,32.5659392448354
2025-07-24,2,0.4613383005903268,0.46128466392484985,-0.005363666547697488,53.35427290488668,53.35958559983177,35.892251588730865,35.88807864083294
2025-07-31,2,0.46056066138057544,0.4591665011200842,-0.13941602604912173,56.54696561685117,56.69310907853518,38.80847242420118,38.690995543170985
2025-08-07,2,0.46358624898819256,0.460807905985676,-0.2778343002516559,58.0598643097372,58.36058407582774,42.21528284179227,41.962280221592174
2025-08-14,2,0.45440941538345286,0.45101841781428065,-0.3390997569172216,60.1738059529936,60.5478029307051,44.99034210201942,44.654604910976765
2025-08-21,2,0.4593823806524298,0.45940868960968695,0.0026308957257137333,62.507685746262176,62.504643832766035,49.69309504398987,49.695940981423576
2025-08-28,2,0.4456831862702608,0.4441665810694996,-0.15166052007612452,65.97824547350389,66.15876128638163,53.031172598312615,52.850714024503425
2025-09-04,2,0.43930978991550007,0.43801448189551895,-0.1295308019981123,67.39328541628504,67.54897756414587,55.570367840088046,55.40651821781942
