model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks,exploratory_BH_q
low2_difference_upper_control_HAC4,dlog1p_C_100k,0.3386465349897892,0.21194734328441683,-0.0840691121979592,0.7613621821775376,0.11459524518634752,76,70,4,0.28634265955018373
low2_difference_upper_control_HAC4,reward_pulse,-0.22970796499787788,0.03956994823244586,-0.30862773826353257,-0.1507881917322232,1.7236052295915235e-07,76,70,4,
low2_difference_upper_control_HAC4,growth_pulse,0.029042588741429447,0.011433404656312552,0.00623938218098221,0.05184579530187668,0.01330206121713087,76,70,4,
low2_difference_upper_control_HAC4,dlog1p_upper5plus_pixels,0.028271663132569787,0.014980314433752862,-0.0016056319201084822,0.058148958185248054,0.06327269673361885,76,70,4,
low2_difference_upper_control_HAC8,intercept,-0.0001625082111940272,0.005714169808626385,-0.011559060540480948,0.011234044118092892,0.9773925356884848,76,70,8,
low2_difference_upper_control_HAC8,dlog_A,-0.08367422260827359,0.1393122767445511,-0.3615237974729443,0.19417535225639707,0.5500306020218689,76,70,8,
low2_difference_upper_control_HAC8,dlog1p_C_100k,0.3386465349897892,0.20805274562623768,-0.07630158209306959,0.753594652072648,0.10808264135232619,76,70,8,0.28634265955018373
low2_difference_upper_control_HAC8,reward_pulse,-0.22970796499787788,0.038688162010306164,-0.30686907109744865,-0.15254685889830713,1.0099977297272839e-07,76,70,8,
low2_difference_upper_control_HAC8,growth_pulse,0.029042588741429447,0.010401096993484798,0.00829825489449166,0.049786922588367234,0.00674315425553122,76,70,8,
low2_difference_upper_control_HAC8,dlog1p_upper5plus_pixels,0.028271663132569787,0.013939914288645747,0.0004693807403852758,0.056073945524754296,0.04635624509651829,76,70,8,
tier3_difference_HAC4,intercept,-0.016071960808621374,0.04485164283328224,-0.10550359657302527,0.07335967495578252,0.7211550853261237,76,71,4,
tier3_difference_HAC4,dlog_A,1.7759974079427496,1.5591250678378448,-1.3328096807143819,4.884804496599881,0.25849066480820876,76,71,4,
tier3_difference_HAC4,dlog1p_C_100k,-1.3109759834289714,1.0459833314284643,-3.396607510007831,0.774655543149888,0.21419256108840978,76,71,4,0.28634265955018373
tier3_difference_HAC4,reward_pulse,-0.10261223524418926,0.08181183627588093,-0.2657404035977542,0.06051593310937568,0.21386592828933118,76,71,4,
tier3_difference_HAC4,growth_pulse,0.02610764188215389,0.04239157892298261,-0.05841876576383169,0.11063404952813947,0.5399506480471731,76,71,4,
tier3_difference_HAC8,intercept,-0.016071960808621374,0.03615687784449024,-0.08816672758864712,0.05602280597140437,0.658028590184929,76,71,8,
tier3_difference_HAC8,dlog_A,1.7759974079427496,1.5280137441073807,-1.2707754630971246,4.822770278982624,0.2490091377722263,76,71,8,
tier3_difference_HAC8,dlog1p_C_100k,-1.3109759834289714,0.9704566296872843,-3.24601154397575,0.6240595771178075,0.18102159778793064,76,71,8,0.28634265955018373
tier3_difference_HAC8,reward_pulse,-0.10261223524418926,0.08075648686550252,-0.2636360966401704,0.058411626151791865,0.20800533270798646,76,71,8,
tier3_difference_HAC8,growth_pulse,0.02610764188215389,0.039162602767431984,-0.05198037017353985,0.10419565393784763,0.5071580880553013,76,71,8,
tier3_difference_upper_control_HAC4,intercept,0.04646991960469254,0.02441629228144618,-0.00222683985327609,0.09516667906266116,0.061122515668766454,76,70,4,
tier3_difference_upper_control_HAC4,dlog_A,0.4400050406964224,0.6558512207268634,-0.8680489737216697,1.7480590551145145,0.5044973377810239,76,70,4,
tier3_difference_upper_control_HAC4,dlog1p_C_100k,-0.8200321691745969,0.73142851207125,-2.278820338257077,0.6387559999078831,0.26606068003739825,76,70,4,0.28634265955018373
tier3_difference_upper_control_HAC4,reward_pulse,0.02659046081265247,0.047672817721527254,-0.06848997607386456,0.1216708976991695,0.5787810287060796,76,70,4,
tier3_difference_upper_control_HAC4,growth_pulse,0.1532414447771595,0.08006133603151334,-0.0064358550220743604,0.31291874457639335,0.05970244157068312,76,70,4,
tier3_difference_upper_control_HAC4,dlog1p_upper5plus_pixels,-1.123396331230373,0.27102972444242057,-1.6639480720514546,-0.5828445904092913,9.385202609660511e-05,76,70,4,
tier3_difference_upper_control_HAC8,intercept,0.04646991960469254,0.02067577092015342,0.005233394767059078,0.087706444442326,0.027757924427458034,76,70,8,
tier3_difference_upper_control_HAC8,dlog_A,0.4400050406964224,0.6535116735189046,-0.863382893945376,1.743392975338221,0.5029776618977463,76,70,8,
tier3_difference_upper_control_HAC8,dlog1p_C_100k,-0.8200321691745969,0.7632620127736537,-2.342310253455545,0.7022459151063511,0.28634265955018373,76,70,8,0.28634265955018373
tier3_difference_upper_control_HAC8,reward_pulse,0.02659046081265247,0.051092180105522154,-0.07530967931109839,0.12849060093640333,0.6043985705359358,76,70,8,
tier3_difference_upper_control_HAC8,growth_pulse,0.1532414447771595,0.07347271350063662,0.006704738268957955,0.29977815128536106,0.04065327996818197,76,70,8,
tier3_difference_upper_control_HAC8,dlog1p_upper5plus_pixels,-1.123396331230373,0.2962862882694462,-1.7143207002638923,-0.5324719621968537,0.00031421947991758714,76,70,8,
tier4_difference_HAC4,intercept,0.027983850153350122,0.01069206612032457,0.006664475824162037,0.04930322448253821,0.010824733671625673,76,71,4,
tier4_difference_HAC4,dlog_A,0.33821560390334016,0.24094306668766735,-0.14221122594692043,0.8186424337536007,0.16476232687765774,76,71,4,
tier4_difference_HAC4,dlog1p_C_100k,-0.20579486319099397,0.17727524052970028,-0.5592716533284279,0.14768192694643997,0.24957994592668506,76,71,4,0.28634265955018373
tier4_difference_HAC4,reward_pulse,0.3944153624021365,0.1753827457482323,0.044712099682893136,0.7441186251213798,0.027623931727117645,76,71,4,
tier4_difference_HAC4,growth_pulse,-0.004361833961836705,0.018659056472340698,-0.04156693586511743,0.03284326794144402,0.8158401548892776,76,71,4,
tier4_difference_HAC8,intercept,0.027983850153350122,0.011977680085021909,0.004101034385644058,0.05186666592105618,0.022301267423875868,76,71,8,
tier4_difference_HAC8,dlog_A,0.33821560390334016,0.23370976527933002,-0.12778843257613776,0.8042196403828181,0.15225288537174,76,71,8,
tier4_difference_HAC8,dlog1p_C_100k,-0.20579486319099397,0.18107861440667075,-0.5668553654458505,0.1552656390638625,0.25957103774547574,76,71,8,0.28634265955018373
tier4_difference_HAC8,reward_pulse,0.3944153624021365,0.17688643033729376,0.041713837769202344,0.7471168870350706,0.028926730912122032,76,71,8,
tier4_difference_HAC8,growth_pulse,-0.004361833961836705,0.01603006823558959,-0.036324882206303394,0.027601214282629988,0.7863323423733197,76,71,8,
tier4_difference_upper_control_HAC4,intercept,0.028576937831486297,0.011096634429367399,0.006445398309798078,0.05070847735317452,0.012130676098283376,76,70,4,
tier4_difference_upper_control_HAC4,dlog_A,0.32554632364087427,0.24366835050759805,-0.16043487757554864,0.8115275248572972,0.1858692949106378,76,70,4,
