date,season,scenario,C_boss,M_boss,B_total,C_share,C_accounts,C_mean_per_100k,estimated_transfer_count,transferred_production_in_main,stage,cap_tier,season_boss_tier,assumption_only_share_lower,assumption_only_share_upper,C_tier1,M_tier1,C_tier2,M_tier2,C_tier3,M_tier3,C_tier4,M_tier4,C_tier5,M_tier5,C_tier6,M_tier6,C_tier7,M_tier7,A_accounts,M_mean_per_100k,scenario_share_min,scenario_share_max
2025-05-08,1,primary,3.978076940229019,187.42855503709447,191.40663197732349,0.020783380905528465,55532.0,7.163575848572028,4784.0,30.26792233893373,post_leap,3,3,0.0,0.9230769230769231,0.0,53.00491347064343,0.0,100.12039211121537,3.978076940229019,19.57966238005695,0.0,14.723587075178731,0.0,0.0,0.0,0.0,0.0,0.0,289371.0,64.77102233364589,0.0019142857319324805,0.026998154528436177
2025-05-15,1,primary,8.295557228282794,183.11107474904068,191.40663197732349,0.04333996759979348,45589.0,18.19640094821732,4971.5,30.40149246588847,post_leap,3,3,0.0,0.9230769230769231,0.0,50.06019605560768,0.0,100.12039211121537,8.295557228282794,18.20689950703892,0.0,14.723587075178731,0.0,0.0,0.0,0.0,0.0,0.0,273292.0,67.00198862353844,0.00945796989753713,0.07114180963056763
2025-05-22,0,primary,,,191.40663197732349,,,,,,end_boundary_unresolved,,3,,,,,,,,,,,,,,,,,277449.0,,,
2025-05-29,0,primary,0.0,194.35134939235923,194.35134939235923,0.0,,,,,outside_season,,3,0.0,0.0,0.0,50.06019605560768,0.0,103.0651095262511,0.0,23.557739320285968,0.0,17.668304490214474,0.0,0.0,0.0,0.0,0.0,0.0,293845.0,66.14077128838647,0.0,0.0
2025-06-05,0,primary,0.0,206.1302190525022,206.1302190525022,0.0,,,,,outside_season,,3,0.0,0.0,0.0,55.94963088567918,0.0,108.9545443563226,0.0,26.502456735321715,0.0,14.723587075178731,0.0,0.0,0.0,0.0,0.0,0.0,316173.0,65.1953895659978,0.0,0.0
2025-06-12,0,primary,0.0,223.7985235427167,223.7985235427167,0.0,,,,,outside_season,,3,0.0,0.0,0.0,61.839065715750664,0.0,111.89926177135835,0.0,26.502456735321715,0.0,17.668304490214474,0.0,0.0,0.0,5.889434830071492,0.0,0.0,425334.0,52.617125257495694,0.0,0.0
2025-06-19,2,primary,55.94963088567919,217.9090887126452,273.8587195983244,0.20430107526881724,,,0.0,0.0,pre_leap,3,3,0.20430107526881724,0.30107526881720437,51.032704448073964,60.86655732328439,4.916926437605225,112.87177016382462,3.5571413559262866e-15,26.50245673532171,0.0,17.668304490214474,0.0,0.0,0.0,0.0,0.0,0.0,485195.0,44.91165175087237,0.20430107526881724,0.2081721270891212
2025-06-26,2,primary,103.06510952625112,223.7985235427167,326.86363306896783,0.3153153153153153,650456.0,15.845054780992275,0.0,0.0,pre_leap,3,3,0.31531531531531526,0.39639639639639634,63.78538827579441,59.89274315570692,39.27972125045669,113.8455843314021,2.0730808188173596e-14,26.502456735321694,0.0,20.61302190525022,0.0,0.0,0.0,2.944717415035746,0.0,0.0,503920.0,44.41151840425399,0.31531531531531526,0.3217534585447709
2025-07-03,2,primary,121.82434103589257,219.76287910825397,341.58722014414656,0.35664197561162814,619598.0,19.661835744449235,0.0,0.0,pre_leap,3,3,0.3534482758620689,0.4396551724137931,58.88996789576628,58.898728705663565,61.8434461206993,114.83959878144546,1.0909270194269916,28.35624713093047,0.0,17.668304490214474,0.0,0.0,0.0,0.0,0.0,0.0,428441.0,51.29361548223769,0.35344827586206934,0.3714112100754156
2025-07-10,2,primary,135.9248006324596,226.27544141693716,362.20024204939676,0.3752752893354561,563148.0,24.136603633939856,0.0,0.0,pre_leap,3,3,0.37398373983739835,0.45528455284552843,53.86081887050338,58.038442900854974,81.59618222114092,115.69988458625407,0.46779954081528247,28.97937460954218,0.0,20.61302190525022,0.0,0.0,0.0,2.944717415035746,0.0,0.0,407155.0,55.57476671462641,0.3739837398373993,0.39389881353289136
2025-07-17,2,primary,172.73912754710483,213.0188538225779,385.75798136968274,0.44779145446005447,531711.0,32.48740905249371,15718.5,3.035129633760668,post_leap,3,3,0.0,0.9312977099236641,50.02935176181359,55.980475179473274,120.00414175581555,100.84966437186539,2.7056340294756986,29.68625753591751,0.0,20.61302190525022,0.0,0.0,0.0,5.889434830071492,0.0,0.0,385353.0,55.278888142191164,0.4141286792429839,0.4777813580003855
2025-07-24,2,primary,180.68195342018706,210.96546277956716,391.6474161997542,0.4613383005903268,503401.0,35.892251588730865,14155.0,6.698828186696253,post_leap,3,3,0.0,0.9323308270676691,41.66866171763382,55.507012978545795,131.09681460653127,98.59114376625692,7.916477096021962,30.36484929944273,0.0,17.668304490214474,0.0,2.944717415035746,0.0,5.889434830071492,0.0,0.0,395405.0,53.35427290488668,0.42616769067348,0.48847213118937693
2025-07-31,2,primary,183.08983503344783,214.44701599637787,397.5368510298257,0.46056066138057544,471778.0,38.80847242420118,15811.5,11.205416733724514,post_leap,3,3,0.0,0.925925925925926,36.22229732023914,55.06394254586899,139.64647169554036,98.87563892235508,7.22106601766833,31.060260377796364,0.0,20.61302190525022,0.0,0.0,0.0,8.834152245107237,0.0,0.0,379237.0,56.54696561685117,0.4289842692259862,0.48181423965513553
2025-08-07,2,primary,185.65774810426143,214.82382034060004,400.48156844486147,0.46358624898819256,439788.0,42.21528284179227,15995.0,16.115321781456675,post_leap,3,3,0.0,0.9264705882352942,30.89266277442909,54.50414226160755,142.52935305654347,98.9374749763877,12.235732273288855,31.935028952247336,0.0,17.668304490214474,0.0,2.944717415035746,0.0,8.834152245107237,0.0,0.0,370004.0,58.0598643097372,0.4359907865933954,0.4787101793972036
2025-08-14,2,primary,184.6588100269495,221.7121932479835,406.371003274933,0.45440941538345286,410441.0,44.99034210201942,14673.5,20.99031279478171,post_leap,3,3,0.0,0.9130434782608694,28.57440859999667,53.87767902100421,144.61066318261788,99.80088226534903,11.473738244334942,32.69702298120124,0.0,23.557739320285968,0.0,0.0,0.0,11.778869660142984,0.0,0.0,368453.0,60.1738059529936,0.4306734982549016,0.4640598961458266
2025-08-21,2,primary,192.98661311998774,227.1135501598966,420.1001632798843,0.4593823806524298,388357.0,49.69309504398987,11042.0,24.859628090731782,post_leap,3,3,0.0,0.9035090708062442,24.135861586990025,53.03604308291228,144.14753514742915,99.76351048280162,24.703216385568567,33.77814148485811,0.0,27.54539315799444,0.0,5.441492955628173,0.0,7.548968995701999,0.0,0.0,363337.0,62.507685746262176,0.4318957764360064,0.46586533133059777
2025-08-28,2,primary,188.98718978860666,235.05211797654079,424.03930776514744,0.4456831862702608,356370.0,53.031172598312615,15993.5,31.09346207496654,post_leap,3,3,0.0,0.8888888888888888,21.404305451974768,52.21362992391889,140.68101006693686,100.78581796599431,26.901874269695035,34.93719144605563,0.0,32.39189156539321,0.0,0.0,0.0,14.723587075178731,0.0,0.0,356257.0,65.97824547350389,0.4091642707098736,0.45600486324716083
