date,a_px,b_px,factor_b_per_a,relative_difference,snapshot_a,snapshot_b,measure
2024-12-19,246,75,0.3020833333333333,0.00925147182506314,251016,260910,all_boss_stacks
2024-12-26,268,81,0.3020833333333333,0.0005146680391148184,251016,260910,all_boss_stacks
2025-01-02,276,83,0.3020833333333333,-0.004497751124437732,251016,260910,all_boss_stacks
2025-01-09,278,84,0.3020833333333333,0.0002480774001489827,251016,260910,all_boss_stacks
2025-01-16,281,85,0.3020833333333333,0.001349858878390009,251016,260910,all_boss_stacks
2025-01-23,281,85,0.3020833333333333,0.001349858878390009,251016,260910,all_boss_stacks
2025-01-30,286,86,0.3020833333333333,-0.004581625271280365,251016,260910,all_boss_stacks
2025-02-06,286,86,0.3020833333333333,-0.004581625271280365,251016,260910,all_boss_stacks
2025-02-13,288,87,0.3020833333333333,0.0,251016,260910,all_boss_stacks
2025-02-20,295,89,0.3020833333333333,-0.0012857977790765585,251016,260910,all_boss_stacks
2025-02-27,289,87,0.3020833333333333,-0.0034602076124566894,251016,260910,all_boss_stacks
2025-03-06,282,84,0.3020833333333333,-0.013939838591342624,251016,260910,all_boss_stacks
2025-03-13,282,85,0.3020833333333333,-0.002201027146001455,251016,260910,all_boss_stacks
2025-03-20,286,86,0.3020833333333333,-0.004581625271280365,251016,260910,all_boss_stacks
2025-03-27,285,86,0.3020833333333333,-0.0010889292196006872,251016,260910,all_boss_stacks
2025-04-03,285,85,0.3020833333333333,-0.012704174228675091,251016,260910,all_boss_stacks
2025-04-10,283,85,0.3020833333333333,-0.005726818569513736,251016,260910,all_boss_stacks
2025-04-17,262,75,0.3020833333333333,-0.05238220584364306,251016,260910,all_boss_stacks
2025-04-24,224,67,0.3020833333333333,-0.00985221674876835,251016,260910,all_boss_stacks
2025-05-01,235,69,0.3020833333333333,-0.02802641232575198,251016,260910,all_boss_stacks
2025-05-08,227,68,0.3020833333333333,-0.008354853410299068,251016,260910,all_boss_stacks
2025-05-15,225,68,0.3020833333333333,0.00045977011494247044,251016,260910,all_boss_stacks
2025-05-22,223,68,0.3020833333333333,0.009432503479202214,251016,260910,all_boss_stacks
2025-05-29,233,70,0.3020833333333333,-0.005475802871096502,251016,260910,all_boss_stacks
2025-06-05,251,74,0.3020833333333333,-0.024041763978568387,251016,260910,all_boss_stacks
2025-06-12,257,78,0.3020833333333333,0.004696095532000566,251016,260910,all_boss_stacks
2025-06-19,318,98,0.3020833333333333,0.0201691607026675,251016,260910,all_boss_stacks
2025-06-26,369,113,0.3020833333333333,0.013737033922063269,251016,260910,all_boss_stacks
2025-07-03,394,120,0.3020833333333333,0.008226851041484462,251016,260910,all_boss_stacks
2025-07-10,409,124,0.3020833333333333,0.0036253267009527246,251016,260910,all_boss_stacks
2025-07-17,441,132,0.3020833333333333,-0.009148486980999349,251016,260910,all_boss_stacks
2025-07-24,443,134,0.3020833333333333,0.0013232661321709305,251016,260910,all_boss_stacks
2025-07-31,456,136,0.3020833333333333,-0.012704174228675091,251016,260910,all_boss_stacks
2025-08-07,451,137,0.3020833333333333,0.005581466472972085,251016,260910,all_boss_stacks
2025-08-14,454,138,0.3020833333333333,0.0062281634513141615,251016,260910,all_boss_stacks
2025-08-21,473,144,0.3020833333333333,0.007800539476561896,251016,260910,all_boss_stacks
2025-08-28,480,145,0.3020833333333333,0.0,251016,260910,all_boss_stacks
2025-09-04,482,144,0.3020833333333333,-0.01101731292030328,251016,260910,all_boss_stacks
2025-09-11,471,143,0.3020833333333333,0.005051614320228381,251016,260910,all_boss_stacks
2025-09-18,472,144,0.3020833333333333,0.009935710111046214,251016,260910,all_boss_stacks
2025-09-25,445,135,0.3020833333333333,0.0042619139868269595,251016,260910,all_boss_stacks
2025-10-02,443,132,0.3020833333333333,-0.013621857242936075,251016,260910,all_boss_stacks
