series,week_start,week_end,x_start,x_end,observed_columns,max_abs_chord_residual_px,rms_chord_residual_px,verdict
field,2023-02-16,2023-02-23,426,434,9,0.75,0.44095855184409843,STRAIGHT_WITHIN_3PX
field,2023-02-23,2023-03-02,434,441,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2023-03-02,2023-03-09,441,449,9,0.75,0.36324157862838946,STRAIGHT_WITHIN_3PX
field,2023-03-09,2023-03-16,449,456,8,2.571428571428555,1.0856202966836115,STRAIGHT_WITHIN_3PX
field,2023-03-16,2023-03-23,456,464,9,0.625,0.3227486121839514,STRAIGHT_WITHIN_3PX
field,2023-03-23,2023-03-30,464,472,9,0.875,0.4930066485916347,STRAIGHT_WITHIN_3PX
field,2023-03-30,2023-04-06,472,479,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2023-04-06,2023-04-13,479,487,9,1.625,0.7949493345141213,STRAIGHT_WITHIN_3PX
field,2023-04-13,2023-04-20,487,494,8,0.5714285714285552,0.2988071523336052,STRAIGHT_WITHIN_3PX
field,2023-04-20,2023-04-27,494,502,9,0.625,0.3227486121839514,STRAIGHT_WITHIN_3PX
field,2023-04-27,2023-05-04,502,510,9,1.5,0.5527707983925667,STRAIGHT_WITHIN_3PX
field,2023-05-04,2023-05-11,510,517,8,0.8571428571428896,0.48181205582971576,STRAIGHT_WITHIN_3PX
field,2023-05-11,2023-05-18,517,525,9,0.5,0.27638539919628335,STRAIGHT_WITHIN_3PX
field,2023-05-18,2023-05-25,525,532,8,2.428571428571445,1.5468862734077007,STRAIGHT_WITHIN_3PX
field,2023-05-25,2023-06-01,532,540,9,0.625,0.3227486121839514,STRAIGHT_WITHIN_3PX
field,2023-06-01,2023-06-08,540,548,9,3.25,2.0207259421636903,REVIEW_3_TO_5PX
field,2023-06-08,2023-06-15,548,555,8,3.2857142857143344,1.8468119248354413,REVIEW_3_TO_5PX
field,2023-06-15,2023-06-22,555,563,9,2.75,1.4695993407123664,STRAIGHT_WITHIN_3PX
field,2023-06-22,2023-06-29,563,570,8,1.8571428571428896,1.043688514014477,STRAIGHT_WITHIN_3PX
field,2023-06-29,2023-07-06,570,578,9,1.375,0.7021791477646966,STRAIGHT_WITHIN_3PX
field,2023-07-06,2023-07-13,578,586,9,11.0,5.547772325697746,INTERIOR_KINK_GT5PX
field,2023-07-13,2023-07-20,586,593,8,15.428571428571445,8.790213714288026,INTERIOR_KINK_GT5PX
field,2023-07-20,2023-07-27,593,601,9,0.875,0.5713045500334204,STRAIGHT_WITHIN_3PX
field,2023-07-27,2023-08-03,601,608,8,1.4285714285714448,0.7196229171289386,STRAIGHT_WITHIN_3PX
field,2023-08-03,2023-08-10,608,616,9,2.0,1.1055415967851334,STRAIGHT_WITHIN_3PX
field,2023-08-10,2023-08-17,616,624,9,4.0,1.8782379449307742,REVIEW_3_TO_5PX
field,2023-08-17,2023-08-24,624,631,8,1.1428571428571104,0.5509731650193249,STRAIGHT_WITHIN_3PX
field,2023-08-24,2023-08-31,631,639,9,1.5,0.7021791477646966,STRAIGHT_WITHIN_3PX
field,2023-08-31,2023-09-07,639,646,8,3.0,1.3693063937629153,STRAIGHT_WITHIN_3PX
field,2023-09-07,2023-09-14,646,654,9,2.375,1.3202482931462383,STRAIGHT_WITHIN_3PX
field,2023-09-14,2023-09-21,654,662,9,1.75,0.9090593428863095,STRAIGHT_WITHIN_3PX
field,2023-09-21,2023-09-28,662,669,8,1.1428571428571104,0.6267831705280023,STRAIGHT_WITHIN_3PX
field,2023-09-28,2023-10-05,669,677,9,3.375,1.4312970031098058,REVIEW_3_TO_5PX
field,2023-10-05,2023-10-12,677,684,8,0.8571428571428896,0.5345224838248374,STRAIGHT_WITHIN_3PX
field,2023-10-12,2023-10-19,684,692,9,1.625,0.82915619758885,STRAIGHT_WITHIN_3PX
field,2023-10-19,2023-10-26,692,700,9,0.75,0.39965262694272663,STRAIGHT_WITHIN_3PX
field,2023-10-26,2023-11-02,700,707,8,1.8571428571428896,0.9354143466934984,STRAIGHT_WITHIN_3PX
field,2023-11-02,2023-11-09,707,715,9,0.875,0.4930066485916347,STRAIGHT_WITHIN_3PX
field,2023-11-09,2023-11-16,715,722,8,1.2857142857143344,0.7559289460184598,STRAIGHT_WITHIN_3PX
field,2023-11-16,2023-11-23,722,730,9,3.75,1.9913005242247535,REVIEW_3_TO_5PX
field,2023-11-23,2023-11-30,730,738,9,1.5,0.82915619758885,STRAIGHT_WITHIN_3PX
field,2023-11-30,2023-12-07,738,745,8,1.7142857142856656,0.8556534679079242,STRAIGHT_WITHIN_3PX
field,2023-12-07,2023-12-14,745,753,9,1.0,0.6666666666666666,STRAIGHT_WITHIN_3PX
field,2023-12-14,2023-12-21,753,760,8,3.428571428571445,1.9410968916716187,REVIEW_3_TO_5PX
field,2023-12-21,2023-12-28,760,768,9,2.5,1.481365736219265,STRAIGHT_WITHIN_3PX
field,2023-12-28,2024-01-04,768,776,9,0.5,0.27638539919628335,STRAIGHT_WITHIN_3PX
field,2024-01-04,2024-01-11,776,783,8,2.428571428571445,1.253566341056032,STRAIGHT_WITHIN_3PX
field,2024-01-11,2024-01-18,783,791,9,3.125,1.5612494995995996,REVIEW_3_TO_5PX
field,2024-01-18,2024-01-25,791,798,8,4.14285714285711,2.598076211353315,REVIEW_3_TO_5PX
field,2024-01-25,2024-02-01,798,806,9,4.0,1.8856180831641267,REVIEW_3_TO_5PX
field,2024-02-01,2024-02-08,806,814,9,1.5,0.7406828681096325,STRAIGHT_WITHIN_3PX
field,2024-02-08,2024-02-15,814,821,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2024-02-15,2024-02-22,821,829,9,1.0,0.4714045207910317,STRAIGHT_WITHIN_3PX
field,2024-02-22,2024-02-29,829,836,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2024-02-29,2024-03-07,836,844,9,0.0,0.0,STRAIGHT_WITHIN_3PX
field,2024-03-07,2024-03-14,844,851,8,1.0,0.3535533905932738,STRAIGHT_WITHIN_3PX
field,2024-03-14,2024-03-21,851,859,9,2.5,1.552328000849763,STRAIGHT_WITHIN_3PX
field,2024-03-21,2024-03-28,859,867,9,1.25,0.4930066485916347,STRAIGHT_WITHIN_3PX
field,2024-03-28,2024-04-04,867,874,8,9.428571428571445,4.928053803045825,INTERIOR_KINK_GT5PX
field,2024-04-04,2024-04-11,874,882,9,11.25,8.023836018043019,INTERIOR_KINK_GT5PX
field,2024-04-11,2024-04-18,882,889,8,4.0,2.03100960115899,REVIEW_3_TO_5PX
field,2024-04-18,2024-04-25,889,897,9,0.75,0.39965262694272663,STRAIGHT_WITHIN_3PX
field,2024-04-25,2024-05-02,897,905,9,1.5,0.8620067027323833,STRAIGHT_WITHIN_3PX
field,2024-05-02,2024-05-09,905,912,8,2.0,1.0,STRAIGHT_WITHIN_3PX
field,2024-05-09,2024-05-16,912,920,9,1.0,0.5527707983925667,STRAIGHT_WITHIN_3PX
field,2024-05-16,2024-05-23,920,927,8,0.5714285714285552,0.32732683535398854,STRAIGHT_WITHIN_3PX
field,2024-05-23,2024-05-30,927,935,9,2.0,1.2909944487358056,STRAIGHT_WITHIN_3PX
field,2024-05-30,2024-06-06,935,943,9,4.0,2.6034165586355513,REVIEW_3_TO_5PX
field,2024-06-06,2024-06-13,943,950,8,0.4285714285714448,0.26726124191243955,STRAIGHT_WITHIN_3PX
field,2024-06-13,2024-06-20,950,958,9,1.5,0.8819171036881969,STRAIGHT_WITHIN_3PX
field,2024-06-20,2024-06-27,958,965,8,0.5714285714285552,0.2988071523336052,STRAIGHT_WITHIN_3PX
field,2024-06-27,2024-07-04,965,973,9,1.0,0.4714045207910317,STRAIGHT_WITHIN_3PX
field,2024-07-04,2024-07-11,973,981,9,1.0,0.816496580927726,STRAIGHT_WITHIN_3PX
field,2024-07-11,2024-07-18,981,988,8,0.8571428571428896,0.48181205582971576,STRAIGHT_WITHIN_3PX
field,2024-07-18,2024-07-25,988,996,9,0.75,0.36324157862838946,STRAIGHT_WITHIN_3PX
