series,date,x0,x1,max_abs_residual_px
azmoth,2024-12-19,1157,1165,1.0
other_coin,2024-12-19,1157,1165,6.5
boss,2024-12-26,1165,1172,4.142857142857167
field,2024-12-26,1165,1172,3.0
azmoth,2024-12-26,1165,1172,1.4285714285714448
other_coin,2024-12-26,1165,1172,0.8571428571428896
boss,2025-01-02,1172,1179,2.571428571428555
field,2025-01-02,1172,1179,1.8571428571428896
azmoth,2025-01-02,1172,1179,0.7142857142856656
other_coin,2025-01-02,1172,1179,3.1428571428571104
boss,2025-01-09,1179,1187,3.5
field,2025-01-09,1179,1187,2.25
azmoth,2025-01-09,1179,1187,0.875
other_coin,2025-01-09,1179,1187,2.5
boss,2025-01-16,1187,1196,1.7777777777777715
field,2025-01-16,1187,1196,0.8888888888889142
azmoth,2025-01-16,1187,1196,0.8888888888889142
other_coin,2025-01-16,1187,1196,3.3333333333333712
boss,2025-01-23,1196,1203,6.857142857142833
field,2025-01-23,1196,1203,1.5714285714285552
azmoth,2025-01-23,1196,1203,1.8571428571428896
other_coin,2025-01-23,1196,1203,4.714285714285666
boss,2025-01-30,1203,1211,6.0
field,2025-01-30,1203,1211,1.125
azmoth,2025-01-30,1203,1211,1.0
other_coin,2025-01-30,1203,1211,7.5
boss,2025-02-06,1211,1218,1.7142857142857224
field,2025-02-06,1211,1218,1.8571428571428896
azmoth,2025-02-06,1211,1218,1.0
other_coin,2025-02-06,1211,1218,2.0
boss,2025-02-13,1218,1224,4.333333333333314
field,2025-02-13,1218,1224,3.3333333333333712
azmoth,2025-02-13,1218,1224,1.1666666666666288
other_coin,2025-02-13,1218,1224,2.3333333333333712
boss,2025-02-20,1224,1234,9.600000000000023
field,2025-02-20,1224,1234,3.0
azmoth,2025-02-20,1224,1234,1.2000000000000455
other_coin,2025-02-20,1224,1234,5.5
boss,2025-02-27,1234,1240,10.333333333333314
field,2025-02-27,1234,1240,4.666666666666629
azmoth,2025-02-27,1234,1240,0.8333333333333712
other_coin,2025-02-27,1234,1240,9.333333333333371
boss,2025-03-06,1240,1248,1.75
field,2025-03-06,1240,1248,1.875
azmoth,2025-03-06,1240,1248,1.0
other_coin,2025-03-06,1240,1248,4.625
boss,2025-03-13,1248,1255,2.0
field,2025-03-13,1248,1255,1.1428571428571104
azmoth,2025-03-13,1248,1255,1.0
other_coin,2025-03-13,1248,1255,2.1428571428571104
boss,2025-03-20,1255,1262,2.857142857142833
field,2025-03-20,1255,1262,2.1428571428571104
azmoth,2025-03-20,1255,1262,1.4285714285714448
other_coin,2025-03-20,1255,1262,3.571428571428555
