x_pixel,y_pixel,rgb_distance,series
668,589,17.05872210923198,boss
669,589,17.05872210923198,boss
670,589,17.05872210923198,boss
671,591,11.789826122551595,boss
672,591,11.789826122551595,boss
673,591,11.789826122551595,boss
674,597,16.1245154965971,boss
675,597,16.1245154965971,boss
676,597,16.1245154965971,boss
677,603,15.684387141358123,boss
678,603,15.684387141358123,boss
679,603,15.684387141358123,boss
680,606,23.345235059857504,boss
681,607,20.248456731316587,boss
682,607,18.411952639521967,boss
683,607,18.411952639521967,boss
684,607,18.411952639521967,boss
685,609,16.522711641858304,boss
686,609,16.522711641858304,boss
687,609,11.489125293076057,boss
688,609,10.246950765959598,boss
689,609,9.539392014169456,boss
690,609,9.539392014169456,boss
691,609,9.539392014169456,boss
692,608,12.767145334803704,boss
693,608,14.352700094407323,boss
694,607,16.881943016134134,boss
695,607,16.881943016134134,boss
696,607,16.881943016134134,boss
697,606,17.11724276862369,boss
698,603,16.76305461424021,boss
699,603,16.76305461424021,boss
700,602,16.583123951777,boss
701,602,16.583123951777,boss
702,602,16.583123951777,boss
703,600,5.196152422706632,boss
704,600,5.196152422706632,boss
705,600,5.196152422706632,boss
706,598,7.0,boss
707,598,7.0,boss
708,598,14.45683229480096,boss
709,598,14.45683229480096,boss
710,598,14.45683229480096,boss
711,601,21.95449840010015,boss
712,601,21.95449840010015,boss
713,603,23.345235059857504,boss
714,605,20.8806130178211,boss
715,605,20.8806130178211,boss
716,607,17.378147196982766,boss
717,607,9.9498743710662,boss
718,607,9.9498743710662,boss
719,607,9.9498743710662,boss
720,608,8.12403840463596,boss
721,609,6.708203932499369,boss
722,609,6.708203932499369,boss
723,609,6.708203932499369,boss
724,609,9.899494936611665,boss
725,610,10.816653826391969,boss
726,612,8.660254037844387,boss
727,612,8.660254037844387,boss
728,612,8.660254037844387,boss
729,615,9.219544457292887,boss
730,615,9.055385138137417,boss
731,614,5.744562646538029,boss
732,614,5.744562646538029,boss
733,614,5.744562646538029,boss
734,613,14.52583904633395,boss
735,612,15.937377450509228,boss
736,609,9.9498743710662,boss
737,609,9.9498743710662,boss
738,609,9.9498743710662,boss
739,611,12.806248474865697,boss
740,611,12.806248474865697,boss
741,611,12.806248474865697,boss
742,611,21.656407827707714,boss
743,614,23.021728866442675,boss
744,617,26.77685567799177,boss
745,621,21.587033144922902,boss
746,621,3.7416573867739413,boss
747,621,3.7416573867739413,boss
748,621,3.7416573867739413,boss
749,619,5.385164807134504,boss
750,619,5.385164807134504,boss
751,619,5.385164807134504,boss
752,619,9.055385138137417,boss
753,618,10.816653826391969,boss
754,614,13.19090595827292,boss
755,614,13.19090595827292,boss
756,614,13.19090595827292,boss
757,611,15.652475842498529,boss
758,604,22.561028345356956,boss
759,599,21.470910553583888,boss
760,599,21.470910553583888,boss
761,593,16.881943016134134,boss
762,593,16.881943016134134,boss
763,593,16.881943016134134,boss
764,592,18.439088914585774,boss
765,591,23.366642891095847,boss
766,586,19.6468827043885,boss
767,584,17.69180601295413,boss
768,584,17.69180601295413,boss
769,584,17.11724276862369,boss
770,584,4.69041575982343,boss
771,584,4.69041575982343,boss
772,584,4.69041575982343,boss
773,584,7.14142842854285,boss
774,585,12.529964086141668,boss
775,585,13.92838827718412,boss
776,586,8.602325267042627,boss
777,586,7.0710678118654755,boss
778,586,5.385164807134504,boss
779,586,4.58257569495584,boss
780,586,4.58257569495584,boss
781,586,4.58257569495584,boss
782,586,9.433981132056603,boss
783,585,5.477225575051661,boss
784,585,5.477225575051661,boss
785,585,5.477225575051661,boss
786,585,17.60681686165901,boss
787,582,17.916472867168917,boss
788,582,17.916472867168917,boss
789,582,17.916472867168917,boss
790,580,8.660254037844387,boss
791,580,1.7320508075688772,boss
792,580,1.7320508075688772,boss
793,580,1.7320508075688772,boss
794,580,3.1622776601683795,boss
795,580,5.830951894845301,boss
796,580,7.3484692283495345,boss
797,581,10.677078252031311,boss
798,582,4.242640687119285,boss
799,580,4.123105625617661,boss
800,580,4.123105625617661,boss
801,580,4.123105625617661,boss
802,580,8.06225774829855,boss
803,576,19.72308292331602,boss
804,576,19.72308292331602,boss
805,570,19.87460691435179,boss
806,570,9.055385138137417,boss
807,570,9.055385138137417,boss
808,570,9.055385138137417,boss
809,573,9.433981132056603,boss
810,573,9.433981132056603,boss
811,580,18.466185312619388,boss
812,580,18.466185312619388,boss
813,580,18.466185312619388,boss
814,585,17.029386365926403,boss
815,586,10.344080432788601,boss
816,586,8.12403840463596,boss
817,586,8.12403840463596,boss
818,586,8.12403840463596,boss
819,587,13.490737563232042,boss
820,587,9.695359714832659,boss
821,587,5.477225575051661,boss
822,587,4.898979485566356,boss
823,587,4.898979485566356,boss
824,587,4.898979485566356,boss
825,587,5.0,boss
826,588,9.539392014169456,boss
827,588,15.033296378372908,boss
828,587,14.45683229480096,boss
829,587,8.246211251235321,boss
830,587,8.246211251235321,boss
831,587,8.246211251235321,boss
832,585,15.524174696260024,boss
833,576,21.354156504062622,boss
834,574,20.248456731316587,boss
835,570,14.866068747318506,boss
836,570,14.866068747318506,boss
837,570,14.866068747318506,boss
838,568,15.937377450509228,boss
839,573,8.774964387392123,boss
840,573,8.774964387392123,boss
841,573,8.774964387392123,boss
