date,month_coordinate,x_pixel,boss_y,boss_distance,boss_px,field_y,field_distance,field_px,azmoth_y,azmoth_distance,azmoth_px,other_coin_y,other_coin_distance,other_coin_px,etc_y,etc_distance,etc_px,sum_px,canonical_total,read_total,boss_index,field_index,azmoth_index,other_coin_index,etc_index,relative_error,window
2023-09-29T23:56:15.972342249,8.966580236243152,671,591,11.789826122551595,235,705,8.366600265340756,121,710,1000000.0,0,705,1000000.0,0,822,24.289915602982237,4,360,181.77834798722296,166.06821951695866,108.40564329579246,55.817373782088886,0.0,0.0,1.8452024390773185,-0.08642464102142977,earlier_comparison
2023-10-02T18:39:18.513396699,9.05733218092768,674,597,16.1245154965971,229,711,15.264337522473747,115,710,1000000.0,0,705,1000000.0,0,822,24.289915602982237,4,348,180.3442605191004,160.5326121997267,105.63783963717648,53.049570123472904,0.0,0.0,1.8452024390773185,-0.10985460952485049,earlier_comparison
2023-10-05T14:10:28.522039741,9.14808412561221,677,603,15.684387141358123,223,716,12.0,110,710,1000000.0,0,705,1000000.0,0,822,20.83266665599966,4,337,175.5681428913605,155.4583054922641,102.87003597856051,50.74306707462626,0.0,0.0,1.8452024390773185,-0.11454149407697589,earlier_comparison
2023-10-08T09:41:38.530682783,9.238836070296738,680,606,23.345235059857504,220,715,4.58257569495584,111,710,1000000.0,0,705,1000000.0,0,822,20.83266665599966,4,335,170.6294101384378,154.53570427272544,101.48613414925252,51.20436768439559,0.0,0.0,1.8452024390773185,-0.09431964778319846,earlier_comparison
2023-10-11T05:12:48.539325825,9.329588014981267,683,607,18.411952639521967,219,713,9.899494936611665,113,710,1000000.0,0,705,1000000.0,0,822,20.83266665599966,4,336,170.6294101384378,154.99700488249476,101.02483353948318,52.12696890393425,0.0,0.0,1.8452024390773185,-0.09161612434374533,earlier_comparison
2023-10-14T00:43:58.547968867,9.420339959665796,686,609,16.522711641858304,217,712,14.0,114,710,1000000.0,0,705,1000000.0,0,823,20.83266665599966,3,334,170.6294101384378,154.0744036629561,100.10223231994453,52.58826951370358,0.0,0.0,1.3839018293079888,-0.0970231712226517,earlier_comparison
2023-10-16T20:15:08.556611910,9.511091904350325,689,609,9.539392014169456,217,712,9.539392014169456,114,710,1000000.0,0,705,1000000.0,0,822,20.92844953645635,4,335,170.6294101384378,154.53570427272544,100.10223231994453,52.58826951370358,0.0,0.0,1.8452024390773185,-0.09431964778319846,earlier_comparison
2023-10-19T15:46:18.565254952,9.601843849034854,692,608,12.767145334803704,218,712,10.295630140987,114,710,1000000.0,0,705,1000000.0,0,822,22.64950330581225,4,336,170.6294101384378,154.99700488249476,100.56353292971386,52.58826951370358,0.0,0.0,1.8452024390773185,-0.09161612434374533,earlier_comparison
2023-10-22T11:17:28.573897994,9.692595793719383,695,607,16.881943016134134,219,712,12.206555615733702,114,710,1000000.0,0,705,1000000.0,0,823,20.92844953645635,3,336,170.6294101384378,154.99700488249476,101.02483353948318,52.58826951370358,0.0,0.0,1.3839018293079888,-0.09161612434374533,earlier_comparison
2023-10-25T06:48:38.582541036,9.783347738403911,698,603,16.76305461424021,223,712,12.569805089976535,114,710,1000000.0,0,705,1000000.0,0,823,22.64950330581225,3,340,170.6294101384378,156.84220732157206,102.87003597856051,52.58826951370358,0.0,0.0,1.3839018293079888,-0.08080203058593294,earlier_comparison
