date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index
2025-05-15,1,post_leap,valid,273292.0,45589.0,183.11107474904068,8.295557228282794,191.40663197732349,0.0006700198862353844,0.0001819640094821732,0.27158001310165214,285673.0612172912,12381.061217291219,0.057238978194749254,0.45913705695391493,0.0,71.9363004233478,False,0.0,94.55152953467665,25.678305629808733
2025-05-22,0,end_boundary_unresolved,season_end_boundary,277449.0,,,,191.40663197732349,,,,,,,,,,False,,,
2025-05-29,0,outside_season,outside_season,293845.0,0.0,194.35134939235923,0.0,194.35134939235923,0.0006614077128838647,,0.0,293845.0,0.0,0.0,0.0,,,False,0.0,93.33620118438063,
2025-06-05,0,outside_season,outside_season,316173.0,0.0,206.1302190525022,0.0,206.1302190525022,0.000651953895659978,,0.0,316173.0,0.0,0.0,0.0,,,False,0.0,92.00210215713813,
2025-06-12,0,outside_season,outside_season,425334.0,0.0,223.7985235427167,0.0,223.7985235427167,0.0005261712525749569,,0.0,425334.0,0.0,0.0,0.0,,,False,0.0,74.25197035220697,
2025-06-19,2,pre_leap,missing_challenger_count,485195.0,,217.9090887126452,55.94963088567919,273.8587195983244,0.0004491165175087237,,,,,,,,,False,,63.37819897903593,
2025-06-26,2,pre_leap,valid,503920.0,650456.0,223.79852354271674,103.06510952625109,326.86363306896783,0.00044411518404253997,0.00015845054780992272,0.3567780465590778,735988.4210526315,232068.42105263151,0.3567780465590778,0.3674953907959872,0.35677804655907774,0.5087700587179345,False,0.0,62.672423316767734,22.36014476407999
2025-07-03,2,pre_leap,valid,428441.0,619598.0,219.76858706780507,121.81863307634147,341.58722014414656,0.0005129494774491823,0.00019660914508494453,0.38329144239048873,665927.6111222621,237486.61112226205,0.378010279783559,0.4085726166011808,0.3780102797835585,0.5425475873066086,False,0.0,72.38614653564885,27.744990514738127
2025-07-10,2,pre_leap,valid,407155.0,563148.0,226.26398096669766,135.9362610826991,362.20024204939676,0.0005557195195114825,0.00024138638702916304,0.43436729960710946,651768.0760391445,244613.07603914448,0.4319210128517829,0.46996055483360927,0.4319210128517806,0.6042970173318877,False,1.9509881053640083e-16,78.42174783395458,34.06384283710454
2025-07-17,2,post_leap,valid,385353.0,531711.0,212.601300151576,173.15668121810674,385.75798136968274,0.0005517053199315329,0.000325659392448354,0.5902777817853354,699210.1896308626,313857.1896308625,0.5149895305946637,0.6669939517700393,0.0,9.824272960311145,False,1.9651834653688947e-16,77.85527403528235,45.95623845783588
2025-07-24,2,post_leap,valid,395405.0,503401.0,210.9864694410148,180.6609467587394,391.6474161997542,0.0005335958559983177,0.00035888078640832936,0.6725704151822739,733977.6195731718,338572.61957317183,0.5841833602286227,0.7512729638340025,0.0,10.821993246382542,False,0.0,75.29971180628753,50.644358432660376
2025-07-31,2,post_leap,valid,379237.0,471778.0,215.00124607616448,182.53560495366122,397.5368510298257,0.0005669310907853518,0.0003869099554317099,0.6824638156565654,701208.4140228231,321971.41402282316,0.6017281745081423,0.7447059476560763,0.0,10.048078757381665,False,0.0,80.00389671372525,54.59976461864269
2025-08-07,2,post_leap,valid,370004.0,439788.0,215.93649550392567,184.5450729409358,400.48156844486147,0.0005836058407582774,0.00041962280221592176,0.71901748219433,686219.26045928,316215.26045928,0.6446458861361773,0.7656606148573685,0.0,10.600676689677758,False,0.0,82.35699569920006,59.216119688728085
2025-08-14,2,post_leap,valid,368453.0,410441.0,223.09019633227086,183.28080694266214,406.371003274933,0.000605478029307051,0.00044654604910976766,0.737509913647609,671157.3064674383,302704.3064674383,0.6718671476993433,0.7682288096421765,0.0,9.425852924049966,False,1.790654854522693e-16,85.44354420924063,63.01546091150272
