x,y,month,P,P_from_source_affine,error
256,732,2.6441377531278243,70.4421182006349,68.9339030032379,-1.5082151973969928
258,733,2.6983103314845898,67.61761515777125,67.44770661858911,-0.16990853918214555
260,733,2.752482909841355,66.57265688310964,67.44770661858911,0.8750497354794646
262,733,2.80665548819812,66.57265688310964,67.44770661858911,0.8750497354794646
264,733,2.860828066554885,66.57265688310964,67.44770661858911,0.8750497354794646
266,733,2.9150006449116503,66.57265688310964,67.44770661858911,0.8750497354794646
268,733,2.9691732232684154,66.57265688310964,67.44770661858911,0.8750497354794646
270,733,3.0233458016251804,66.57265688310964,67.44770661858911,0.8750497354794646
272,733,3.0775183799819454,66.57265688310964,67.44770661858911,0.8750497354794646
274,733,3.1316909583387105,66.57265688310964,67.44770661858911,0.8750497354794646
276,732,3.185863536695476,66.57265688310964,68.9339030032379,2.361246120128257
278,732,3.240036115052241,66.57265688310964,68.9339030032379,2.361246120128257
280,732,3.294208693409006,66.57265688310964,68.9339030032379,2.361246120128257
282,732,3.348381271765771,67.192681437364,68.9339030032379,1.7412215658739
284,731,3.4025538501225365,68.68150730942757,70.4200993878867,1.7385920784591207
286,730,3.4567264284793016,70.17033318149117,71.90629577253549,1.7359625910443128
288,730,3.5108990068360666,71.65915905355473,71.90629577253549,0.24713671898075518
290,728,3.5650715851928316,73.1479849256183,74.87868854183307,1.7307036162147682
292,728,3.619244163549597,74.00528211563308,74.87868854183307,0.8734064261999919
294,727,3.673416741906362,74.00528211563308,76.36488492648186,2.3596028108487843
296,727,3.727589320263127,74.00528211563308,76.36488492648186,2.3596028108487843
298,726,3.781761898619892,74.00528211563308,77.85108131113043,3.8457991954973494
300,726,3.8359344769766572,76.03000860745412,77.85108131113043,1.8210727036763075
302,725,3.8901070553334227,78.36462754173805,79.33727769577922,0.972650154041176
304,725,3.9442796336901877,79.85345341380162,79.33727769577922,-0.5161757180223958
306,725,3.998452212046953,81.3422792858652,79.33727769577922,-2.005001590085982
308,725,4.052624790403718,81.43790734815653,79.33727769577922,-2.1006296523773074
310,725,4.106797368760483,81.43790734815653,79.33727769577922,-2.1006296523773074
312,725,4.160969947117248,81.43790734815653,79.33727769577922,-2.1006296523773074
314,725,4.215142525474014,81.43790734815653,79.33727769577922,-2.1006296523773074
316,725,4.269315103830778,81.43790734815653,79.33727769577922,-2.1006296523773074
318,725,4.323487682187544,81.43790734815653,79.33727769577922,-2.1006296523773074
