date,month_coordinate,x_pixel,boss_y,boss_distance,boss_px,field_y,field_distance,field_px,azmoth_y,azmoth_distance,azmoth_px,other_coin_y,other_coin_distance,other_coin_px,etc_y,etc_distance,etc_px,sum_px,canonical_total,read_total,boss_index,field_index,azmoth_index,other_coin_index,etc_index,relative_error,window,affine_diagnostic,same_window_scalar
2023-03-20T00:46:27.899740694,2.613944108326125,461,722,14.422205101855956,104,787,10.198039027185567,39,710,1000000.0,0.0,705,1000000.0,0,825,22.64950330581225,1,144.0,71.27193064294879,66.42728780678347,47.97526341601028,17.990723781003854,0.0,0.0,0.4613006097693296,-0.0679740648592156,earlier_comparison,72.93360979963488,66.42728780678347
2023-03-22T20:17:37.908383736,2.7046960530106543,464,725,10.488088481701515,101,787,8.48528137423857,39,710,1000000.0,0.0,705,1000000.0,0,825,24.37211521390788,1,141.0,67.26661737593462,65.04338597747548,46.59136158670229,17.990723781003854,0.0,0.0,0.4613006097693296,-0.0330510360887348,earlier_comparison,71.62709886572058,65.04338597747548
2023-03-25T15:48:47.917026778,2.795447997695183,467,725,8.18535277187245,101,787,7.14142842854285,39,710,1000000.0,0.0,705,1000000.0,0,825,26.095976701399778,1,141.0,66.57265688310964,65.04338597747548,46.59136158670229,17.990723781003854,0.0,0.0,0.4613006097693296,-0.0229714567096113,earlier_comparison,71.62709886572058,65.04338597747548
2023-03-28T11:19:57.925669821,2.886199942379712,470,726,3.741657386773941,100,787,8.602325267042627,39,710,1000000.0,0.0,705,1000000.0,0,825,27.820855486487112,1,140.0,66.57265688310964,64.58208536770614,46.13006097693296,17.990723781003854,0.0,0.0,0.4613006097693296,-0.0299007371584795,earlier_comparison,71.19159522108248,64.58208536770614
2023-03-31T06:51:07.934312863,2.9769518870642413,473,726,4.58257569495584,100,786,9.0,40,710,1000000.0,0.0,705,1000000.0,0,825,17.4928556845359,1,141.0,66.57265688310964,65.04338597747548,46.13006097693296,18.452024390773182,0.0,0.0,0.4613006097693296,-0.0229714567096113,earlier_comparison,71.62709886572058,65.04338597747548
2023-04-03T00:44:48.331892812,3.06770383174877,476,727,6.0,99,786,9.433981132056603,40,710,1000000.0,0.0,705,1000000.0,0,825,15.7797338380595,1,140.0,66.57265688310964,64.58208536770614,45.66876036716364,18.452024390773182,0.0,0.0,0.4613006097693296,-0.0299007371584795,earlier_comparison,71.19159522108248,64.58208536770614
2023-04-05T18:05:17.372515111,3.158455776433299,479,728,6.782329983125268,98,783,15.264337522473747,43,710,1000000.0,0.0,705,1000000.0,0,825,15.7797338380595,1,142.0,66.57265688310964,65.5046865872448,45.207459757394304,19.835926220081173,0.0,0.0,0.4613006097693296,-0.0160421762607434,earlier_comparison,72.06260251035869,65.5046865872448
2023-04-08T11:25:46.413137409,3.249207721117828,482,727,9.9498743710662,99,783,6.082762530298219,43,710,1000000.0,0.0,705,1000000.0,0,825,15.7797338380595,1,143.0,66.57265688310964,65.96598719701414,45.66876036716364,19.835926220081173,0.0,0.0,0.4613006097693296,-0.0091128958118752,earlier_comparison,72.49810615499678,65.96598719701414
2023-04-11T04:46:15.453759708,3.3399596658023567,485,727,8.306623862918075,99,782,10.770329614269007,44,710,1000000.0,0.0,705,1000000.0,0,825,17.4928556845359,1,144.0,66.96123030058993,66.42728780678347,45.66876036716364,20.297226829850505,0.0,0.0,0.4613006097693296,-0.007973905070286,earlier_comparison,72.93360979963488,66.42728780678347
2023-04-13T22:06:44.494382008,3.430711610486886,488,725,12.68857754044952,101,782,7.681145747868608,44,710,1000000.0,0.0,705,1000000.0,0,825,17.4928556845359,1,146.0,69.45536750588572,67.34988902632213,46.59136158670229,20.297226829850505,0.0,0.0,0.4613006097693296,-0.030314121934279,earlier_comparison,73.80461708891107,67.34988902632213
2023-04-16T15:27:13.535004307,3.521463555171415,491,724,18.49324200890693,102,781,9.539392014169456,45,710,1000000.0,0.0,705,1000000.0,0,825,20.92844953645635,1,148.0,71.94950471118149,68.27249024586078,47.05266219647162,20.758527439619836,0.0,0.0,0.4613006097693296,-0.0511054868283099,earlier_comparison,74.67562437818727,68.27249024586078
2023-04-19T08:47:42.575626606,3.612215499855944,494,721,24.839484696748443,105,780,12.84523257866513,46,710,1000000.0,0.0,705,1000000.0,0,825,20.92844953645635,1,152.0,74.00528211563308,70.1176926849381,48.43656402577961,21.219828049389164,0.0,0.0,0.4613006097693296,-0.0525312426296898,earlier_comparison,76.41763895673965,70.1176926849381
2023-04-22T02:08:11.616248904,3.702967444540473,497,717,19.33907960581372,109,780,10.677078252031311,46,710,1000000.0,0.0,705,1000000.0,0,824,26.095976701399778,2,157.0,74.00528211563308,72.42419573378476,50.28176646485693,21.219828049389164,0.0,0.0,0.9226012195386591,-0.021364507189877,earlier_comparison,78.59515717993014,72.42419573378476
2023-04-24T19:28:40.656871203,3.7937193892250014,500,714,14.0356688476182,112,780,13.114877048604,46,710,1000000.0,0.0,705,1000000.0,0,824,22.64950330581225,2,160.0,74.00528211563308,73.80809756309274,51.66566829416492,21.219828049389164,0.0,0.0,0.9226012195386591,-0.0026644659259893,earlier_comparison,79.90166811384442,73.80809756309274
2023-04-27T12:49:09.697493502,3.88447133390953,503,713,13.341664064126334,113,779,16.583123951777,47,710,1000000.0,0.0,705,1000000.0,0,824,22.64950330581225,2,162.0,78.20974091610292,74.73069878263139,52.12696890393425,21.68112865915849,0.0,0.0,0.9226012195386591,-0.0444834887920618,earlier_comparison,80.77267540312062,74.73069878263139
2023-04-30T06:09:38.738115802,3.97522327859406,506,712,10.816653826391969,114,778,9.899494936611664,48,710,1000000.0,0.0,705,1000000.0,0,824,26.095976701399778,2,164.0,80.7038781213987,75.65330000217006,52.58826951370358,22.14242926892782,0.0,0.0,0.9226012195386591,-0.0625816037196046,earlier_comparison,81.64368269239682,75.65330000217006
2023-05-03T01:05:08.038029371,4.065975223278588,509,712,4.898979485566356,114,778,5.0990195135927845,48,710,1000000.0,0.0,705,1000000.0,0,824,22.64950330581225,2,164.0,81.43790734815653,75.65330000217006,52.58826951370358,22.14242926892782,0.0,0.0,0.9226012195386591,-0.0710308937735421,earlier_comparison,81.64368269239682,75.65330000217006
