source,date,pixel_x,pixel_y,indicator
2311,2023-08-12 11:24:55.384615386,1067,742,-742
2311,2023-08-13 10:27:41.538461538,1074,740,-740
2311,2023-08-14 09:30:27.692307692,1081,738,-738
2311,2023-08-15 08:33:13.846153844,1088,737,-737
2311,2023-08-16 07:36:00.000000000,1095,736,-736
2311,2023-08-17 06:38:46.153846154,1102,737,-737
2311,2023-08-18 05:41:32.307692308,1109,737,-737
2311,2023-08-19 04:44:18.461538462,1116,738,-738
2311,2023-08-20 03:47:04.615384616,1123,739,-739
2311,2023-08-21 02:49:50.769230768,1130,740,-740
2311,2023-08-22 01:52:36.923076922,1137,741,-741
2311,2023-08-23 00:55:23.076923078,1144,741,-741
2311,2023-08-23 23:58:09.230769228,1151,742,-742
2311,2023-08-24 23:00:55.384615384,1158,739,-739
2311,2023-08-25 22:03:41.538461538,1165,737,-737
2311,2023-08-26 21:06:27.692307692,1172,735,-735
2311,2023-08-27 20:09:13.846153846,1179,732,-732
2311,2023-08-28 19:12:00.000000002,1186,729,-729
2311,2023-08-29 18:14:46.153846154,1193,727,-727
2311,2023-08-30 17:17:32.307692308,1200,725,-725
2311,2023-08-31 16:20:18.461538464,1207,722,-722
2311,2023-09-01 15:23:04.615384614,1214,720,-720
2311,2023-09-02 14:25:50.769230770,1221,718,-718
2311,2023-09-03 13:28:36.923076924,1228,717,-717
2311,2023-09-04 12:31:23.076923076,1235,714,-714
2311,2023-09-05 11:34:09.230769230,1242,713,-713
2311,2023-09-06 10:36:55.384615384,1249,711,-711
2311,2023-09-07 09:39:41.538461538,1256,709,-709
2311,2023-09-08 08:42:27.692307692,1263,707,-707
2311,2023-09-09 07:45:13.846153846,1270,700,-700
2311,2023-09-10 06:48:00.000000000,1277,696,-696
2311,2023-09-11 05:50:46.153846156,1284,689,-689
2311,2023-09-12 04:53:32.307692306,1291,685,-685
2311,2023-09-13 03:56:18.461538462,1298,679,-679
2311,2023-09-14 02:59:04.615384616,1305,673,-673
2311,2023-09-15 02:01:50.769230768,1312,667,-667
2311,2023-09-16 01:04:36.923076922,1319,663,-663
2311,2023-09-17 00:07:23.076923078,1326,660,-660
2311,2023-09-17 23:10:09.230769230,1333,657,-657
2311,2023-09-18 22:12:55.384615386,1340,654,-654
2311,2023-09-19 21:15:41.538461538,1347,651,-651
2311,2023-09-20 20:18:27.692307692,1354,649,-649
2311,2023-09-21 19:21:13.846153848,1361,647,-647
2311,2023-09-22 18:24:00.000000002,1368,643,-643
2311,2023-09-23 17:26:46.153846154,1375,642,-642
2311,2023-09-24 16:29:32.307692308,1382,643,-643
2311,2023-09-25 15:32:18.461538460,1389,644,-644
2311,2023-09-26 14:35:04.615384614,1396,645,-645
2311,2023-09-27 13:37:50.769230768,1403,647,-647
2311,2023-09-28 12:40:36.923076920,1410,648,-648
2311,2023-09-29 11:43:23.076923078,1417,649,-649
2311,2023-09-30 10:46:09.230769230,1424,651,-651
2311,2023-10-01 09:48:55.384615384,1431,651,-651
2311,2023-10-02 08:51:41.538461540,1438,651,-651
2311,2023-10-03 07:54:27.692307694,1445,651,-651
2311,2023-10-04 06:57:13.846153846,1452,649,-649
2311,2023-10-05 06:00:00.000000000,1459,649,-649
2311,2023-10-06 05:02:46.153846154,1466,648,-648
2311,2023-10-07 04:05:32.307692306,1473,647,-647
2311,2023-10-08 03:08:18.461538460,1480,647,-647
2311,2023-10-09 02:11:04.615384616,1487,646,-646
2311,2023-10-10 01:13:50.769230770,1494,645,-645
2311,2023-10-11 00:16:36.923076922,1501,643,-643
2311,2023-10-11 23:19:23.076923080,1508,642,-642
2311,2023-10-12 22:22:09.230769232,1515,642,-642
2311,2023-10-13 21:24:55.384615384,1522,640,-640
2311,2023-10-14 20:27:41.538461540,1529,639,-639
2311,2023-10-15 19:30:27.692307692,1536,638,-638
2311,2023-10-16 18:33:13.846153848,1543,637,-637
2311,2023-10-17 17:35:59.999999996,1550,637,-637
2311,2023-10-18 16:38:46.153846152,1557,637,-637
2311,2023-10-19 15:41:32.307692308,1564,636,-636
2311,2023-10-20 14:44:18.461538464,1571,636,-636
2311,2023-10-21 13:47:04.615384612,1578,635,-635
2311,2023-10-22 12:49:50.769230772,1585,635,-635
2311,2023-10-23 11:52:36.923076924,1592,635,-635
2311,2023-10-24 10:55:23.076923076,1599,635,-635
2311,2023-10-25 09:58:09.230769232,1606,634,-634
2311,2023-10-26 09:00:55.384615384,1613,633,-633
2311,2023-10-27 08:03:41.538461540,1620,631,-631
2311,2023-10-28 07:06:27.692307692,1627,630,-630
2311,2023-10-29 06:09:13.846153844,1634,628,-628
2311,2023-10-30 05:12:00.000000000,1641,627,-627
2311,2023-10-31 04:14:46.153846156,1648,626,-626
