date,indicator,source,scale_from_overlap_differences,offset_from_overlap_median,aligned_2510_pixel_equivalent
2023-06-06 06:11:04.615384616,-978.0,2311,0.058818037143286,84.08564829891603,26.56160797278232
2023-06-07 05:13:50.769230769,-976.0,2311,0.058818037143286,84.08564829891603,26.67924404706889
2023-06-08 04:16:36.923076922,-974.0,2311,0.058818037143286,84.08564829891603,26.796880121355464
2023-06-09 03:19:23.076923077,-972.0,2311,0.058818037143286,84.08564829891603,26.914516195642037
2023-06-10 02:22:09.230769231,-971.0,2311,0.058818037143286,84.08564829891603,26.973334232785326
2023-06-11 01:24:55.384615384,-969.0,2311,0.058818037143286,84.08564829891603,27.090970307071892
2023-06-12 00:27:41.538461539,-968.0,2311,0.058818037143286,84.08564829891603,27.14978834421518
2023-06-12 23:30:27.692307692,-966.0,2311,0.058818037143286,84.08564829891603,27.267424418501754
2023-06-13 22:33:13.846153846,-964.0,2311,0.058818037143286,84.08564829891603,27.385060492788327
2023-06-14 21:36:00.000000001,-963.0,2311,0.058818037143286,84.08564829891603,27.44387852993161
2023-06-15 20:38:46.153846154,-961.0,2311,0.058818037143286,84.08564829891603,27.561514604218182
2023-06-16 19:41:32.307692307,-959.0,2311,0.058818037143286,84.08564829891603,27.679150678504755
2023-06-17 18:44:18.461538462,-957.0,2311,0.058818037143286,84.08564829891603,27.796786752791327
2023-06-18 17:47:04.615384615,-956.0,2311,0.058818037143286,84.08564829891603,27.85560478993461
2023-06-19 16:49:50.769230769,-954.0,2311,0.058818037143286,84.08564829891603,27.973240864221182
2023-06-20 15:52:36.923076923,-951.0,2311,0.058818037143286,84.08564829891603,28.149694975651045
2023-06-21 14:55:23.076923078,-950.0,2311,0.058818037143286,84.08564829891603,28.208513012794327
2023-06-22 13:58:09.230769231,-947.0,2311,0.058818037143286,84.08564829891603,28.38496712422419
2023-06-23 13:00:55.384615384,-943.0,2311,0.058818037143286,84.08564829891603,28.620239272797328
2023-06-24 12:03:41.538461539,-938.0,2311,0.058818037143286,84.08564829891603,28.914329458513762
2023-06-25 11:06:27.692307693,-932.0,2311,0.058818037143286,84.08564829891603,29.26723768137348
2023-06-26 10:09:13.846153846,-927.0,2311,0.058818037143286,84.08564829891603,29.561327867089908
2023-06-27 09:12:00.000000001,-921.0,2311,0.058818037143286,84.08564829891603,29.914236089949625
2023-06-28 08:14:46.153846154,-914.0,2311,0.058818037143286,84.08564829891603,30.325962349952626
2023-06-29 07:17:32.307692307,-908.0,2311,0.058818037143286,84.08564829891603,30.678870572812343
2023-06-30 06:20:18.461538460,-904.0,2311,0.058818037143286,84.08564829891603,30.91414272138549
2023-07-01 05:23:04.615384615,-899.0,2311,0.058818037143286,84.08564829891603,31.208232907101916
2023-07-02 04:25:50.769230770,-894.0,2311,0.058818037143286,84.08564829891603,31.502323092818344
2023-07-03 03:28:36.923076923,-890.0,2311,0.058818037143286,84.08564829891603,31.73759524139149
2023-07-04 02:31:23.076923077,-887.0,2311,0.058818037143286,84.08564829891603,31.914049352821344
2023-07-05 01:34:09.230769230,-882.0,2311,0.058818037143286,84.08564829891603,32.20813953853778
