x_pixel,date,field_y_v2,azmoth_y_v2,read_total_v2,field_y_v1,azmoth_y_v1,read_total_v1
674,2023-10-02T18:39:18.513396699,711,710,160.5326121997267,711,710,160.5326121997267
677,2023-10-05T14:10:28.522039741,716,710,155.4583054922641,716,710,155.4583054922641
680,2023-10-08T09:41:38.530682783,715,710,154.53570427272544,715,710,154.53570427272544
683,2023-10-11T05:12:48.539325825,713,710,154.99700488249476,713,710,154.99700488249476
686,2023-10-14T00:43:58.547968867,712,710,154.0744036629561,712,710,154.0744036629561
689,2023-10-16T20:15:08.556611910,712,710,154.53570427272544,712,710,154.53570427272544
692,2023-10-19T15:46:18.565254952,712,710,154.99700488249476,712,710,154.99700488249476
695,2023-10-22T11:17:28.573897994,712,710,154.99700488249476,712,710,154.99700488249476
698,2023-10-25T06:48:38.582541036,712,710,156.84220732157206,712,710,156.84220732157206
701,2023-10-28T02:19:48.591184078,712,710,157.30350793134141,712,710,157.3035079313414
704,2023-10-30T21:50:58.599827120,716,710,156.38090671180274,716,710,156.38090671180274
707,2023-11-02T16:02:04.459809834,716,710,157.30350793134141,716,710,157.3035079313414
710,2023-11-05T09:22:33.500432133,719,710,155.9196061020334,719,710,155.9196061020334
713,2023-11-08T02:43:02.541054432,719,710,153.15180244341744,719,710,153.15180244341744
716,2023-11-10T20:03:31.581676731,719,710,151.3066000043401,719,710,151.3066000043401
719,2023-11-13T13:24:00.622299029,721,710,150.38399878480146,721,710,150.38399878480146
722,2023-11-16T06:44:29.662921328,722,710,149.00009695549346,722,710,149.00009695549346
725,2023-11-19T00:04:58.703543627,726,710,146.6935939066468,726,710,146.6935939066468
728,2023-11-21T17:25:27.744165926,728,710,144.8483914675695,728,710,144.8483914675695
731,2023-11-24T10:45:56.784788225,733,710,141.61928719918419,733,710,141.6192871991842
734,2023-11-27T04:06:25.825410528,735,710,141.15798658941486,735,743,141.15798658941486
737,2023-11-29T21:26:54.866032826,738,710,141.61928719918419,738,743,141.6192871991842
740,2023-12-02T16:04:58.703543630,739,710,140.2353853698762,739,710,140.2353853698762
743,2023-12-05T11:36:08.712186672,740,747,138.3901829307989,740,747,138.3901829307989
746,2023-12-08T07:07:18.720829714,741,747,134.69977805264426,741,747,134.69977805264426
749,2023-12-11T02:38:28.729472756,741,710,135.6223792721829,741,710,135.6223792721829
752,2023-12-13T22:09:38.738115798,741,710,136.08367988195224,741,724,136.08367988195224
755,2023-12-16T17:40:48.746758840,735,710,141.15798658941486,735,710,141.15798658941486
758,2023-12-19T13:11:58.755401882,734,710,146.2322932968775,734,710,146.2322932968775
761,2023-12-22T08:43:08.764044924,725,710,156.38090671180274,725,740,156.38090671180274
764,2023-12-25T04:14:18.772687966,724,710,157.30350793134141,724,740,157.3035079313414
767,2023-12-27T23:45:28.781331008,722,710,164.22301707788134,722,732,164.22301707788134
770,2023-12-30T19:16:38.789974051,722,710,163.761716468112,722,732,163.761716468112
773,2024-01-02T14:47:48.798617092,722,710,161.9165140290347,722,718,161.9165140290347
776,2024-01-05T10:18:58.807260134,723,710,160.5326121997267,723,710,160.5326121997267
779,2024-01-08T05:50:08.815903177,718,710,162.37781463880404,718,710,162.37781463880404
782,2024-01-11T01:21:18.824546219,711,710,165.14561829742001,711,728,165.14561829742
785,2024-01-13T20:52:28.833189261,709,710,166.9908207364973,709,710,166.9908207364973
788,2024-01-16T16:23:38.841832303,702,710,171.6038268341906,702,714,171.6038268341906
791,2024-01-19T11:54:48.850475345,701,710,172.98772866349861,701,712,172.9877286634986
794,2024-01-22T07:25:58.859118387,705,710,171.1425262244213,705,710,171.1425262244213
797,2024-01-25T02:57:08.867761429,714,710,166.9908207364973,714,710,166.9908207364973
800,2024-01-27T22:28:18.876404476,717,710,166.06821951695866,717,710,166.06821951695866
803,2024-01-30T17:59:28.885047518,719,710,166.529520126728,719,710,166.529520126728
