date,total_px,top_y,boss_y,field_y,azmoth_y,other_coin_y,etc_y,azmoth_active,other_coin_active,contains_month_1_or_2,month,target_negative_y,source_sum,boss_source,ratio,source_sum_prediction,ratio_free_origin_prediction,ratio_positive_origin_prediction,source_zero_y
2023-10-19,191,573,608.2335893497182,712.0,710.0,705.0,822.0,False,False,False,9.580645161290322,-664.0,341.76641065028184,219.76641065028184,1.5551348799800928,-671.7101430366772,-660.7617055581483,-663.9944334758608,828.0
2023-10-26,194,570,602.7454173067076,712.0,710.0,705.0,823.0,False,False,True,9.806451612903226,-662.2129032258064,346.2545826932924,225.25458269329238,1.537169981419442,-670.3418458544086,-658.7644796005085,-663.0921094343462,828.0
2024-01-04,199,565,584.9835125448029,722.4917562724015,710.0,705.0,821.0,False,False,False,12.096774193548388,-660.0,355.52473118279556,243.01648745519708,1.4629654757409851,-667.515680115697,-654.3794457153758,-663.4585631268576,828.0
2024-02-01,193,571,573.2342007434943,719.0,710.0,705.0,822.0,False,False,True,13.0,-653.8357142857144,369.7657992565057,254.76579925650572,1.4513949687737113,-663.1740432241033,-656.8979617242699,-666.9076913476422,828.0
2024-03-14,195,569,585.0843830005122,718.0,710.0,786.0,822.0,False,True,False,14.419354838709678,-658.0,400.91561699948784,242.91561699948784,1.6504316270465769,-653.6774803834962,-661.3151257686017,-658.144920328357,828.0
2024-04-04,208,556,592.1688888888893,694.9866666666638,710.0,788.1688888888893,823.0,False,True,False,15.1,-652.0707142857144,413.6755555555575,235.83111111111066,1.7541178244318083,-649.7873915444596,-656.7340149456545,-646.290099758097,828.0
2024-04-18,202,562,596.5466666666656,708.3600000000031,710.0,793.2733333333329,822.7266666666671,False,True,False,15.566666666666666,-658.45626984127,391.0933333333313,231.4533333333344,1.689728671006378,-656.6719741183733,-658.5491870757924,-652.5612404277938,828.0
2024-05-02,206,558,575.0,714.85468928906,710.0,787.0,822.0,False,True,True,16.032258064516128,-653.1383256528417,413.14531071093995,253.0,1.6329854178298022,-649.949045892789,-655.0394173010341,-652.6755959900498,828.0
2024-05-16,209,555,588.6667690732216,716.8333845366108,710.0,792.0,823.0,False,True,False,16.483870967741936,-659.0,391.4998463901676,239.33323092677836,1.6357939299701474,-656.5480415540924,-653.5187438385756,-650.8751579764859,828.0
2024-05-23,222,542,585.713773681515,713.3568868407575,710.0,790.3568868407575,822.6784434203787,False,True,False,16.70967741935484,-655.7136712749618,399.89400921659126,242.28622631848498,1.6505024461891245,-653.9889352558419,-646.9123614954774,-642.884047325189,828.0
