date,azmoth_height,source_sum,source_sum_excluding_azmoth,target_negative_y,source_sum_prediction_from_pre,source_sum_excluding_azmoth_prediction_from_pre
2023-08-03,0.0,363.1231950844869,363.1231950844869,-652.401920122888,-660.7488114692399,-660.7488114692399
2023-08-10,0.0,370.4707629288273,370.4707629288273,-650.0,-658.4745908791485,-658.4745908791485
2023-08-17,0.0,358.9651817716335,358.9651817716335,-654.0,-662.0358005369554,-662.0358005369554
2023-08-24,0.0,357.0,357.0,-654.0,-662.6440639709248,-662.6440639709248
2023-08-31,0.0,358.9937532002051,358.9937532002051,-654.0,-662.0269571029753,-662.0269571029753
2023-09-07,0.0,345.6819047619035,345.6819047619035,-659.1171428571427,-666.1472429515612,-666.1472429515612
2023-09-14,0.0,338.0,338.0,-661.0,-668.5249475676674,-668.5249475676674
2023-09-21,0.0,341.3904761904771,341.3904761904771,-659.8269841269843,-667.4755267353662,-667.4755267353662
2023-09-28,0.0,354.7336507936508,354.7336507936508,-655.0,-663.3455448062989,-663.3455448062989
2023-10-05,0.0,333.30926779314075,333.30926779314075,-662.8322580645158,-669.9768238883006,-669.9768238883006
2023-10-12,0.0,329.44352278545864,329.44352278545864,-664.8763440860214,-671.1733500148725,-671.1733500148725
2023-10-19,0.0,329.76641065028184,329.76641065028184,-664.0,-671.0734097018292,-671.0734097018292
2023-10-26,0.0,334.2545826932924,334.2545826932924,-662.2129032258064,-669.6842298414555,-669.6842298414555
2024-01-04,0.0,343.5247311827956,343.5247311827956,-660.0,-666.8149317261245,-666.8149317261245
2024-02-01,0.0,357.7657992565057,357.7657992565057,-653.8357142857144,-662.4070336400836,-662.4070336400836
2024-03-14,0.0,384.91561699948784,384.91561699948784,-658.0,-654.0036169127543,-654.0036169127543
2024-04-04,0.0,397.6755555555575,397.6755555555575,-652.0707142857144,-650.0541583153946,-650.0541583153946
2024-04-18,0.0,375.0933333333313,375.0933333333313,-658.45626984127,-657.0438120124834,-657.0438120124834
2024-05-02,0.0,397.14531071094,397.14531071094,-653.1383256528417,-650.2182798000772,-650.2182798000772
2024-05-16,0.0,375.4998463901676,375.4998463901676,-659.0,-656.9179880141776,-656.9179880141776
2024-05-23,0.0,383.89400921659126,383.89400921659126,-655.7136712749618,-654.3198251471091,-654.3198251471091
2024-05-30,0.0,412.76538658473896,412.76538658473896,-648.377112135177,-645.3835509587035,-645.3835509587035
2024-06-06,0.0,417.2142857142861,417.2142857142861,-647.0,-644.0065268579394,-644.0065268579394
2024-06-13,0.0,408.14349206349095,408.14349206349095,-648.0,-646.8141206258551,-646.8141206258551
2024-06-27,0.0,455.211428571428,455.211428571428,-635.0,-632.2456440078524,-632.2456440078524
2024-07-04,0.0,450.15166410649965,450.15166410649965,-635.2483102918586,-633.8117432628619,-633.8117432628619
2024-07-11,0.0,439.0,439.0,-638.0,-637.2634084481407,-637.2634084481407
2024-07-18,0.0,442.3295442908338,442.3295442908338,-636.0,-636.2328472689517,-636.2328472689517
2024-07-25,0.0,451.1411162314398,451.1411162314398,-634.0,-633.5054878538449,-633.5054878538449
2024-08-01,0.0,473.3809523809561,473.3809523809561,-625.157142857143,-626.6218095587957,-626.6218095587957
2024-08-08,0.0,467.4840757808506,467.4840757808506,-631.0,-628.4470119203523,-628.4470119203523
