date,season,weight_status,P_total,A_accounts,C_accounts,M_boss,C_boss,residual_C_to_M_productivity_assumed,main_residual,main_total,challenger_total,q_main,q_main_sep2025_100,own_scenario_baseline
2025-07-24,2,valid,659.2998882521753,395405.0,503401.0,210.9864694410148,180.6609467587394,0.0,267.65247205242105,478.6389414934358,180.66094675873944,0.00121050300702681,86.85545186414606,0.001393698358647888
2025-07-31,2,valid,681.3582488256682,379237.0,471778.0,215.00124607616448,182.5356049536612,0.0,283.8213977958425,498.82264387200695,182.53560495366122,0.0013153322167193786,94.37710883117224,0.001393698358647888
2025-08-07,2,valid,639.6924566312928,370004.0,439788.0,215.93649550392567,184.5450729409358,0.0,239.21088818643122,455.1473836903569,184.54507294093588,0.0012301147654899863,88.26262568633545,0.001393698358647888
2025-08-14,2,valid,642.1433855839031,368453.0,410441.0,223.0901963322709,183.2808069426621,0.0,235.77238230897004,458.86257864124093,183.28080694266214,0.0012453761501229218,89.3576534976433,0.001393698358647888
2025-08-21,2,valid,642.2141650989681,363337.0,388357.0,227.10249776265715,192.9976655172272,0.0,222.1140018190838,449.21649958174095,192.99766551722718,0.0012363632098623067,88.71096117683443,0.001393698358647888
2025-08-28,2,valid,691.9601166145297,356257.0,356370.0,235.6952181960246,188.34408956912284,0.0,267.92080884938235,503.61602704540695,188.3440895691228,0.0014136312466713832,101.43021536186879,0.001393698358647888
2025-09-04,2,valid,669.1036040626165,350337.0,332895.0,236.64906152890168,184.44552882120996,0.0,248.00901371250484,484.65807524140655,184.4455288212099,0.0013834053361232372,99.26145980866069,0.001393698358647888
2025-09-11,2,valid,651.9471013943443,344546.0,309117.0,242.0959155211395,176.05395741393647,0.0,233.7972284592682,475.8931439804077,176.0539574139366,0.00138121802017846,99.10451652669407,0.001393698358647888
2025-09-18,2,valid,656.3050864938896,354888.0,288952.0,249.72055864047977,171.37403170963185,0.0,235.21049614377796,484.93105478425775,171.37403170963182,0.00136643407155006,98.04374548275435,0.001393698358647888
2025-09-25,2,valid,628.1287404110743,337959.0,240758.0,254.38697030549008,140.2051633092999,0.0,233.5366067962843,487.9235771017744,140.2051633092999,0.001443736006739795,103.59027818189092,0.001393698358647888
