date,extra_boss_C_share_assumed,nonboss_C_to_M_ratio_assumed,three_component_feasible,q_main_three_component
2026-06-25,0.0,0.0,True,0.0020918000015854657
2026-07-02,0.0,0.0,True,0.002107998490451296
2026-07-09,0.0,0.0,True,0.002094631631549614
2026-07-16,0.0,0.0,True,0.0021471738756465484
2026-07-23,0.0,0.0,True,0.002346206014191536
2026-07-30,0.0,0.0,True,0.002956698365376792
2026-08-06,0.0,0.0,True,0.0025551241583109774
2026-08-13,0.0,0.0,True,0.002541885908271076
2026-08-20,0.0,0.0,True,0.0025247490086722844
2025-08-21,0.0,0.5,False,
2025-08-28,0.0,0.5,True,0.0011735257877289284
2025-09-04,0.0,0.5,True,0.0011602359947477997
2025-09-11,0.0,0.5,False,
2025-09-18,0.0,0.5,False,
2025-09-25,0.0,0.5,False,
2025-10-02,0.0,0.5,True,0.0013671908254888937
2025-10-09,0.0,0.5,False,
2025-10-16,0.0,0.5,False,
2025-10-23,0.0,0.5,False,
2025-10-30,0.0,0.5,True,0.0014278343983862977
2025-11-06,0.0,0.5,False,
2025-11-13,0.0,0.5,False,
2025-11-20,0.0,0.5,False,
2025-11-27,0.0,0.5,False,
2025-12-04,0.0,0.5,True,0.0014520917184432716
2025-12-11,0.0,0.5,False,
2025-12-18,0.0,0.5,False,
2025-12-25,0.0,0.5,True,0.001337945555767999
2026-01-01,0.0,0.5,True,0.0015466476387950858
2026-01-08,0.0,0.5,True,0.001548769112254162
2026-01-15,0.0,0.5,True,0.0014377680644401464
2026-01-22,0.0,0.5,True,0.0015978085725703603
2026-01-29,0.0,0.5,True,0.001725970951768248
2026-02-05,0.0,0.5,True,0.001752479324126997
2026-02-12,0.0,0.5,True,0.0017606162289037594
2026-02-19,0.0,0.5,True,0.0018324079810758211
2026-02-26,0.0,0.5,True,0.0020303656554955174
2026-03-05,0.0,0.5,True,0.0019201777442226665
2026-03-12,0.0,0.5,True,0.001959510271204765
2026-03-19,0.0,0.5,True,0.001803600139267075
2026-03-26,0.0,0.5,True,0.0015595122995082772
2026-04-02,0.0,0.5,True,0.001680301856632041
2026-04-09,0.0,0.5,True,0.0016471844413995466
2026-04-16,0.0,0.5,True,
2026-04-23,0.0,0.5,True,0.0017250531827090669
2026-04-30,0.0,0.5,True,0.0019261180673385554
2026-05-07,0.0,0.5,True,0.00180744917565155
2026-05-14,0.0,0.5,False,
2026-05-21,0.0,0.5,False,
2026-05-28,0.0,0.5,True,0.001994984392142432
2026-06-04,0.0,0.5,True,0.0019175798502312495
2026-06-11,0.0,0.5,False,
2026-06-18,0.0,0.5,True,
2026-06-25,0.0,0.5,True,0.0019305846403066406
2026-07-02,0.0,0.5,True,0.00191955654840505
2026-07-09,0.0,0.5,True,0.0018868268080412906
2026-07-16,0.0,0.5,True,0.0019331665151916511
2026-07-23,0.0,0.5,True,0.002112675949989358
2026-07-30,0.0,0.5,True,0.0027548575529765832
2026-08-06,0.0,0.5,True,0.0023484715449462214
2026-08-13,0.0,0.5,True,0.0023387449737999983
2026-08-20,0.0,0.5,True,0.002332278264308419
2025-08-21,0.0,1.0,False,
2025-08-28,0.0,1.0,True,0.0010534920948061762
2025-09-04,0.0,1.0,True,0.0010458027165210092
2025-09-11,0.0,1.0,False,
2025-09-18,0.0,1.0,False,
2025-09-25,0.0,1.0,False,
2025-10-02,0.0,1.0,True,0.0012621025806799663
2025-10-09,0.0,1.0,False,
2025-10-16,0.0,1.0,False,
2025-10-23,0.0,1.0,False,
2025-10-30,0.0,1.0,True,0.0013477478548805822
2025-11-06,0.0,1.0,False,
2025-11-13,0.0,1.0,False,
2025-11-20,0.0,1.0,False,
2025-11-27,0.0,1.0,False,
2025-12-04,0.0,1.0,True,0.0014520917184432716
2025-12-11,0.0,1.0,False,
2025-12-18,0.0,1.0,False,
2025-12-25,0.0,1.0,True,0.0012286193936599714
2026-01-01,0.0,1.0,True,0.001416625103001273
2026-01-08,0.0,1.0,True,0.0014197968784325453
2026-01-15,0.0,1.0,True,0.001366940609691691
2026-01-22,0.0,1.0,True,0.0015124846240076064
2026-01-29,0.0,1.0,True,0.00165140373213086
2026-02-05,0.0,1.0,True,0.0016753630525969238
2026-02-12,0.0,1.0,True,0.001685643747831152
2026-02-19,0.0,1.0,True,0.0017576493727912367
2026-02-26,0.0,1.0,True,0.001960302137465017
2026-03-05,0.0,1.0,True,0.0018534675330019546
2026-03-12,0.0,1.0,True,0.0018892174155243876
2026-03-19,0.0,1.0,True,0.0017429577206434612
2026-03-26,0.0,1.0,True,0.0015081766617762427
2026-04-02,0.0,1.0,True,0.0016332428189383718
2026-04-09,0.0,1.0,True,0.001601388358805454
2026-04-16,0.0,1.0,True,
2026-04-23,0.0,1.0,True,0.0017250531827090669
2026-04-30,0.0,1.0,True,0.0019261180673385554
2026-05-07,0.0,1.0,True,0.00180744917565155
2026-05-14,0.0,1.0,False,
2026-05-21,0.0,1.0,False,
2026-05-28,0.0,1.0,True,0.001994984392142432
