date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index,P_total,residual_outside_weekly_boss,q_main_lower_fixed_boss,q_main_upper_fixed_boss,source_boss_rewards,source_coin_exchange,source_field,source_other,source_serazar_coin,extra_boss_scope_difference,nonboss_residual,three_component_feasible,detected_sources_sum,total_minus_detected_sources
2025-10-30,2,post_leap,valid,305432.0,150125.0,267.11500022604446,33.24617610760164,300.3611763336461,0.0008745481816772,0.0002214566268616,0.2532240435705982,343447.25954103604,38015.25954103605,0.1596164321744015,0.3318713137058821,0.0,6.266315137385512,False,0.0,123.4140507290915,31.25140495904748,505.83647757535863,205.47530124171254,0.0008745481816772456,0.001547284834161964,320.89784882243526,93.40688557272765,,,,20.53667248878918,184.93862875292336,True,414.3047343951629,91.53174318019575
2025-11-06,2,post_leap,valid,299525.0,134699.0,270.1843104609574,27.23214845765296,297.4164589186104,0.0009020426023235,0.0002021703832816,0.2241250942703505,329714.42607312195,30189.426073121947,0.1603344019157802,0.3105757055672941,0.0,6.414408593062473,False,0.0,127.29399456237552,28.529778531341904,469.6708292755053,172.25437035689492,0.000902042602323537,0.0014771343988576992,296.7928460939894,78.34125886744897,91.90032290219976,,,-0.6236128246209773,172.8779831815159,False,467.03442786363814,2.636401411867155
2025-11-13,2,post_leap,valid,296153.0,118308.0,275.32206126540274,25.03911506824336,300.3611763336461,0.0009296615643447,0.0002116434650931,0.2276564646859826,323086.5810240692,26933.58102406923,0.1769209413678938,0.3377348095446447,0.0,6.953436979935613,False,0.0,131.1915133628134,29.866596128981943,462.83430793817575,162.47313160452967,0.0009296615643447904,0.0014782737060571138,293.77972075293366,81.35438420850471,90.3937602316719,,,-6.581455580712429,169.0545871852421,False,465.5278651931103,-2.6935572549345466
2025-11-20,0,end_boundary_unresolved,season_end_boundary,326468.0,,,,282.6928718434316,,,,,,,,,,False,,,,437.93631378391717,155.24344194048558,,,275.70096870659927,76.83469619692112,,,,-6.99190313683232,162.2353450773179,False,352.5356649035204,85.40064888039677
2025-11-27,0,outside_season,outside_season,309116.0,0.0,273.8587195983244,0.0,273.8587195983244,0.0008859415869716,,0.0,309116.0,0.0,0.0,0.0,,,False,0.0,125.02185957077518,,441.1097653330759,167.25104573475153,0.001427003989871362,0.001427003989871362,269.67471802448785,90.3937602316719,81.35438420850471,,,-4.184001573836554,171.43504730858808,False,441.4228624646645,-0.3130971315885631
2025-12-04,0,outside_season,outside_season,299044.0,0.0,270.91400218328863,0.0,270.91400218328863,0.0009059335822932,,0.0,299044.0,0.0,0.0,0.0,,,False,0.0,127.84307991801744,,434.2393158501497,163.32531366686106,0.0014520917184432716,0.0014520917184432716,278.714094047655,75.32813352639324,84.36750954956044,,,7.8000918643663795,155.52522180249468,True,438.4097371236087,-4.170421273458999
2025-12-11,0,outside_season,outside_season,283675.0,0.0,279.7481544283959,0.0,279.7481544283959,0.000986157237784,,0.0,283675.0,0.0,0.0,0.0,,,False,0.0,139.1640414108821,,437.93631378391717,158.1881593555213,0.0015437959417781517,0.0015437959417781517,278.714094047655,73.82157085586539,88.88719756114403,,,-1.0340603807408684,159.22221973626216,False,441.42286246466443,-3.486548680747262
2025-12-18,3,pre_leap,missing_challenger_count,320480.0,,282.6928718434315,14.72358707517889,297.4164589186104,0.0008820920863811,,,,,,,,,False,,124.4786276813158,,482.36463547214055,184.94817655353017,,,293.77972075293366,105.45938693695057,,,,-3.636738165676718,188.5849147192069,False,399.23910768988424,83.12552778225631
2025-12-25,3,pre_leap,valid,341835.0,289845.0,288.58230667350296,29.44717415035764,318.0294808238606,0.0008442152110623,0.0001015962812895,0.1203440544048709,376716.1224489798,34881.12244897982,0.1203440544048703,0.1223430885031996,0.1203440544048703,0.4748119964701244,False,0.0,119.13353782807596,14.337012957826724,555.8629432867106,237.83346246284998,0.0008442152110623633,0.0015399703632932643,323.91097416349095,129.5643896653964,109.97907494853416,,,5.881493339630367,231.9519691232196,True,563.4544387774215,-7.59149549071094
2026-01-01,3,pre_leap,valid,312624.0,283614.0,291.5270240885388,32.391891565393266,323.91891565393206,0.0009325164545541,0.0001142111869138,0.1224763234537084,347360.00000000006,34736.00000000007,0.1224763234537083,0.1375406600016843,0.1224763234537083,0.472408676178589,False,1.1626627789681946e-16,131.59438832442962,16.11719686911576,593.4354396926993,269.5165240387673,0.000932516454554157,0.0017946272459161998,345.0028515508811,144.63001637067504,103.95282426642268,,,21.083935896949015,248.43258814181826,True,593.5856921879788,-0.15025249527946016
