date,low_share_2504,low_px_2504,high_px_2504,total_px_2504,low_share_2510,low_px_2510,high_px_2510,total_px_2510,difference_pp,pair,low_share_2609,low_px_2609,high_px_2609,total_px_2609
2024-11-14 00:00:00.000000056,0.26356589147286824,68.0,190.0,258.0,0.3695652173913043,68.0,116.0,184.0,-10.599932591843608,2504_2510,,,,
2024-11-21 00:00:00.000000056,0.24315068493150685,71.0,221.0,292.0,0.36464088397790057,66.0,115.0,181.0,-12.149019904639372,2504_2510,,,,
2024-11-28 00:00:00.000000056,0.2611683848797251,76.0,215.0,291.0,0.36065573770491804,66.0,117.0,183.0,-9.948735282519294,2504_2510,,,,
2024-12-05 00:00:00.000000056,0.2645161290322581,82.0,228.0,310.0,0.37628865979381443,73.0,121.0,194.0,-11.177253076155635,2504_2510,,,,
2024-12-12 00:00:00.000000056,0.3719676549865229,138.0,233.0,371.0,0.3793103448275862,77.0,126.0,203.0,-0.7342689841063288,2504_2510,,,,
2024-12-19 00:00:00.000000056,0.3778801843317972,164.0,270.0,434.0,0.4489795918367347,110.0,135.0,245.0,-7.109940750493749,2504_2510,,,,
2024-12-26 00:00:00.000000056,0.3617511520737327,157.0,277.0,434.0,0.458955223880597,123.0,145.0,268.0,-9.72040718068643,2504_2510,,,,
2025-01-02 00:00:00.000000056,0.3397129186602871,142.0,276.0,418.0,0.45454545454545453,125.0,150.0,275.0,-11.483253588516746,2504_2510,,,,
2025-01-09 00:00:00.000000056,0.3062645011600928,132.0,299.0,431.0,0.4368231046931408,121.0,156.0,277.0,-13.0558603533048,2504_2510,,,,
2025-01-16 00:00:00.000000056,0.2830188679245283,120.0,304.0,424.0,0.4142857142857143,116.0,164.0,280.0,-13.126684636118602,2504_2510,,,,
2025-01-23 00:00:00.000000056,0.20967741935483872,91.0,343.0,434.0,0.3978494623655914,111.0,168.0,279.0,-18.817204301075265,2504_2510,,,,
2025-01-30 00:00:00.000000056,0.25707547169811323,109.0,315.0,424.0,0.38596491228070173,110.0,175.0,285.0,-12.88894405825885,2504_2510,,,,
2025-02-06 00:00:00.000000056,0.24941176470588236,106.0,319.0,425.0,0.37894736842105264,108.0,177.0,285.0,-12.953560371517028,2504_2510,,,,
2025-02-13 00:00:00.000000056,0.22811059907834103,99.0,335.0,434.0,0.3706293706293706,106.0,180.0,286.0,-14.25187715510296,2504_2510,,,,
2025-02-20 00:00:00.000000056,0.18202764976958524,79.0,355.0,434.0,0.376271186440678,111.0,184.0,295.0,-19.424353667109273,2504_2510,,,,
2025-02-27 00:00:00.000000056,0.23980815347721823,100.0,317.0,417.0,0.3680555555555556,106.0,182.0,288.0,-12.824740207833734,2504_2510,,,,
2025-03-06 00:00:00.000000056,0.22705314009661837,94.0,320.0,414.0,0.35587188612099646,100.0,181.0,281.0,-12.88187460243781,2504_2510,,,,
2025-03-13 00:00:00.000000056,0.2209026128266033,93.0,328.0,421.0,0.35,98.0,182.0,280.0,-12.909738717339666,2504_2510,,,,
2024-08-22 00:00:00.000000048,0.35580524344569286,95.0,172.0,267.0,,,,,-9.874021109976166,2504_2609,0.45454545454545453,73.61793537589365,88.34152245107238,161.95945782696603
2024-08-29 00:00:00.000000056,0.3540856031128405,91.0,166.0,257.0,,,,,-7.448582545858806,2504_2609,0.42857142857142855,70.6732179608579,94.23095728114387,164.90417524200177
2024-09-05 00:00:00.000000040,0.33962264150943394,90.0,175.0,265.0,,,,,-9.897384971863621,2504_2609,0.43859649122807015,73.61793537589365,94.23095728114387,167.84889265703754
2024-09-12 00:00:00.000000040,0.34191176470588236,93.0,179.0,272.0,,,,,-9.142156862745093,2504_2609,0.4333333333333333,76.56265279092939,100.12039211121537,176.68304490214476
2024-09-19 00:00:00.000000056,0.32989690721649484,96.0,195.0,291.0,,,,,-11.272604360317734,2504_2609,0.4426229508196722,79.50737020596515,100.12039211121537,179.6277623171805
2024-09-26 00:00:00.000000040,0.328719723183391,95.0,194.0,289.0,,,,,-10.6764147784351,2504_2609,0.435483870967742,79.50737020596515,103.06510952625109,182.57247973221624
2024-10-03 00:00:00.000000056,0.32967032967032966,90.0,183.0,273.0,,,,,-10.782967032967033,2504_2609,0.4375,82.45208762100089,106.00982694128685,188.46191456228775
2024-10-10 00:00:00.000000040,0.28421052631578947,81.0,204.0,285.0,,,,,-13.766447368421053,2504_2609,0.421875,79.50737020596515,108.95454435632261,188.46191456228775
2024-10-17 00:00:00.000000056,0.28719723183391005,83.0,206.0,289.0,,,,,-11.280276816608998,2504_2609,0.4,70.6732179608579,106.00982694128685,176.68304490214473
2024-10-24 00:00:00.000000056,0.2677966101694915,79.0,216.0,295.0,,,,,-13.89830508474576,2504_2609,0.4067796610169491,70.6732179608579,103.0651095262511,173.73832748710902
2024-10-31 00:00:00.000000056,0.27547169811320754,73.0,192.0,265.0,,,,,-9.95283018867924,2504_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-07 00:00:00.000000056,0.26996197718631176,71.0,192.0,263.0,,,,,-10.503802281368818,2504_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-14 00:00:00.000000056,0.26356589147286824,68.0,190.0,258.0,,,,,-11.14341085271317,2504_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-21 00:00:00.000000056,0.24315068493150685,71.0,221.0,292.0,,,,,-13.866749688667493,2504_2609,0.3818181818181818,61.83906571575066,100.12039211121537,161.95945782696603
2024-11-28 00:00:00.000000056,0.2611683848797251,76.0,215.0,291.0,,,,,-11.383161512027485,2504_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-12-05 00:00:00.000000056,0.2645161290322581,82.0,228.0,310.0,,,,,-12.531437944231822,2504_2609,0.3898305084745763,67.72850054582216,106.00982694128685,173.73832748710902
2024-12-12 00:00:00.000000056,0.3719676549865229,138.0,233.0,371.0,,,,,-1.5129119207025532,2504_2609,0.38709677419354843,70.6732179608579,111.89926177135833,182.5724797322162
2024-12-19 00:00:00.000000056,0.3778801843317972,164.0,270.0,434.0,,,,,-8.157927512766229,2504_2609,0.4594594594594595,100.12039211121537,117.78869660142983,217.9090887126452
2024-12-26 00:00:00.000000056,0.3617511520737327,157.0,277.0,434.0,,,,,-11.324884792626728,2504_2609,0.475,111.89926177135835,123.67813143150133,235.5773932028597
2025-01-02 00:00:00.000000056,0.3397129186602871,142.0,276.0,418.0,,,,,-11.811840664091783,2504_2609,0.4578313253012049,111.89926177135835,132.51228367660855,244.4115454479669
2025-01-09 00:00:00.000000056,0.3062645011600928,132.0,299.0,431.0,,,,,-13.951863137002768,2504_2609,0.4457831325301205,108.9545443563226,135.45700109164432,244.41154544796692
2025-01-16 00:00:00.000000056,0.2830188679245283,120.0,304.0,424.0,,,,,-14.051054384017764,2504_2609,0.42352941176470593,106.00982694128686,144.29115333675153,250.3009802780384
2025-01-23 00:00:00.000000056,0.20967741935483872,91.0,343.0,434.0,,,,,-19.508448540706606,2504_2609,0.40476190476190477,100.12039211121537,147.2358707517873,247.35626286300266
2025-01-30 00:00:00.000000056,0.25707547169811323,109.0,315.0,424.0,,,,,-13.827336551118913,2504_2609,0.39534883720930236,100.12039211121537,153.12530558185878,253.24569769307413
2025-02-06 00:00:00.000000056,0.24941176470588236,106.0,319.0,425.0,,,,,-13.430916552667574,2504_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-02-13 00:00:00.000000056,0.22811059907834103,99.0,335.0,434.0,,,,,-15.561033115421708,2504_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-02-20 00:00:00.000000056,0.18202764976958524,79.0,355.0,434.0,,,,,-19.999482214052716,2504_2609,0.3820224719101124,100.12039211121537,161.959457826966,262.0798499381814
2025-02-27 00:00:00.000000056,0.23980815347721823,100.0,317.0,417.0,,,,,-14.391277675533987,2504_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-03-06 00:00:00.000000056,0.22705314009661837,94.0,320.0,414.0,,,,,-14.199447895100064,2504_2609,0.369047619047619,91.28623986610812,156.07002299689452,247.35626286300266
2025-03-13 00:00:00.000000056,0.2209026128266033,93.0,328.0,421.0,,,,,-13.624024431625385,2504_2609,0.35714285714285715,88.34152245107238,159.01474041193026,247.35626286300266
2024-08-22 00:00:00.000000000,,,,,0.44505494505494503,81.0,101.0,182.0,-0.9490509490509502,2510_2609,0.45454545454545453,73.61793537589365,88.34152245107238,161.95945782696603
2024-08-29 00:00:00.000000000,,,,,0.43956043956043955,80.0,102.0,182.0,1.0989010989011005,2510_2609,0.42857142857142855,70.6732179608579,94.23095728114387,164.90417524200177
2024-09-05 00:00:00.000000000,,,,,0.43010752688172044,80.0,106.0,186.0,-0.8488964346349714,2510_2609,0.43859649122807015,73.61793537589365,94.23095728114387,167.84889265703754
2024-09-12 00:00:00.000000000,,,,,0.42857142857142855,84.0,112.0,196.0,-0.4761904761904745,2510_2609,0.4333333333333333,76.56265279092939,100.12039211121537,176.68304490214476
2024-09-19 00:00:00.000000000,,,,,0.43283582089552236,87.0,114.0,201.0,-0.9787129924149818,2510_2609,0.4426229508196722,79.50737020596515,100.12039211121537,179.6277623171805
2024-09-26 00:00:00.000000000,,,,,0.4292682926829268,88.0,117.0,205.0,-0.6215578284815171,2510_2609,0.435483870967742,79.50737020596515,103.06510952625109,182.57247973221624
2024-10-03 00:00:00.000000000,,,,,0.4238095238095238,89.0,121.0,210.0,-1.3690476190476197,2510_2609,0.4375,82.45208762100089,106.00982694128685,188.46191456228775
2024-10-10 00:00:00.000000000,,,,,0.4182692307692308,87.0,121.0,208.0,-0.3605769230769218,2510_2609,0.421875,79.50737020596515,108.95454435632261,188.46191456228775
2024-10-17 00:00:00.000000000,,,,,0.4030612244897959,79.0,117.0,196.0,0.30612244897958996,2510_2609,0.4,70.6732179608579,106.00982694128685,176.68304490214473
2024-10-24 00:00:00.000000000,,,,,0.39690721649484534,77.0,117.0,194.0,-0.9872444522103785,2510_2609,0.4067796610169491,70.6732179608579,103.0651095262511,173.73832748710902
2024-10-31 00:00:00.000000000,,,,,0.372972972972973,69.0,116.0,185.0,-0.20270270270269508,2510_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-07 00:00:00.000000000,,,,,0.37158469945355194,68.0,115.0,183.0,-0.3415300546448008,2510_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-14 00:00:00.000000000,,,,,0.3695652173913043,68.0,116.0,184.0,-0.5434782608695621,2510_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-11-21 00:00:00.000000000,,,,,0.36464088397790057,66.0,115.0,181.0,-1.7177297840281214,2510_2609,0.3818181818181818,61.83906571575066,100.12039211121537,161.95945782696603
